Table 6.2: Benefits and Services Received by Workers,,,,,,,,
"Source: NIPA Tables 2.1, 3.1, 3.3 via BEA API",,,,,,,,
year,social_security,medicare,medicaid,unemployment_ins,veterans,other_transfers,total_benefits,govt_services_workers
1952,2176.0,0,0,1075.0,4322.0,3421.0,10994.0,32694.9
1953,2980.0,0,0,1084.0,4074.0,3536.0,11674.0,35576.5
1954,3632.0,0,0,2324.0,4057.0,3734.0,13747.0,34159.1
1955,4914.0,0,0,1598.0,4366.0,3876.0,14754.0,35478.6
1956,5652.0,0,0,1575.0,4329.0,4037.0,15593.0,37324.9
1957,7316.0,0,0,1948.0,4473.0,4395.0,18132.0,40373.9
1958,8478.0,0,0,4244.0,4566.0,4938.0,22226.0,42242.9
1959,10175.0,0,0,2853.0,4492.0,5397.0,22917.0,43899.2
1960,11130.0,0,0,3079.0,4488.0,5731.0,24428.0,45767.1
1961,12614.0,0,0,4401.0,4853.0,6221.0,28089.0,48085.2
1962,14298.0,0,0,3182.0,4573.0,6790.0,28843.0,52492.6
1963,15245.0,0,0,3061.0,4750.0,7285.0,30341.0,55659.1
1964,16018.0,0,0,2776.0,4632.0,7891.0,31317.0,59163.0
1965,18067.0,0,0,2365.0,4849.0,8632.0,33913.0,63648.5
1966,19786.0,1008.0,1881.0,1913.0,4822.0,8094.0,37504.0,73348.8
1967,21122.0,4699.0,2720.0,2237.0,5547.0,9427.0,45752.0,82594.3
1968,24598.0,5890.0,3997.0,2207.0,5852.0,10762.0,53306.0,92614.1
1969,26382.0,6695.0,4551.0,2327.0,6612.0,12406.0,58973.0,101690.5
1970,31380.0,7254.0,5455.0,4186.0,7457.0,16005.0,71737.0,109420.5
1971,36617.0,8049.0,6744.0,6160.0,8404.0,19438.0,85412.0,118548.7
1972,40948.0,8836.0,8211.0,6033.0,9374.0,21406.0,94808.0,128911.6
1973,50665.0,10244.0,9611.0,4570.0,10242.0,23296.0,108628.0,137714.3
1974,57607.0,12726.0,11176.0,7021.0,11581.0,28445.0,128556.0,153129.9
1975,65895.0,15633.0,13863.0,18140.0,13950.0,35653.0,163134.0,168207.4
1976,74501.0,18795.0,15457.0,16386.0,13765.0,38739.0,177643.0,180339.6
1977,83239.0,22101.0,16737.0,13129.0,13349.0,40927.0,189482.0,197238.2
1978,91380.0,25543.0,18619.0,9417.0,13597.0,44871.0,203427.0,215559.3
1979,102581.0,29936.0,21067.0,9692.0,14153.0,49905.0,227334.0,236313.2
1980,118586.0,36201.0,23855.0,16097.0,14660.0,62099.0,271498.0,259481.2
1981,138644.0,43499.0,27746.0,15885.0,15782.0,66253.0,307809.0,284811.6
1982,153708.0,50927.0,30159.0,25227.0,16290.0,66768.0,343079.0,306176.6
1983,164426.0,57797.0,33871.0,26411.0,16445.0,71549.0,370499.0,326257.4
1984,173027.0,64748.0,36572.0,15991.0,16275.0,74296.0,380909.0,347839.9
1985,183275.0,69720.0,39673.0,15861.0,16551.0,78032.0,403112.0,381175.7
1986,193631.0,75269.0,43645.0,16467.0,16589.0,83006.0,428607.0,410197.7
1987,200995.0,81585.0,47836.0,14625.0,16463.0,86409.0,447913.0,439218.0
1988,213916.0,86289.0,53027.0,13328.0,16735.0,93569.0,476864.0,464976.5
1989,227380.0,98175.0,60838.0,14410.0,17214.0,103053.0,521070.0,494803.5
