Parameter,Symbol,Value,Description,Change_from_Example_2
Maximum output-capital ratio,σ,0.4,Determines potential output given capital stock,No change
Minimum wage parameter,w₀,0.05,Base wage level (wage floor),No change
Wage sensitivity,w₁,0.15,Linear coefficient in wage function,No change
Wage nonlinearity,γ,4,Exponent in power wage function,Increased from 3
Minimum accumulation rate,g_min,-0.1,Lower bound on accumulation (-10%),No change
Maximum accumulation rate,g_max,0.3,Upper bound on accumulation (30%),No change
Reference profit rate,r₀,0.2,Midpoint of logistic accumulation function (20%),No change
Smoothness parameter,δ,0.02,Steepness of accumulation function response,Decreased from 0.03
Labor supply growth rate,n,0.02,Exogenous growth rate of labor (2%),No change
Time series length,T,200,Number of periods shown in time series,Analysis parameter
Behavior type,Type,Chaotic,Irregular aperiodic oscillations,Changed from periodic
Sensitive to initial conditions,SDIC,Yes,Small changes lead to divergent trajectories,Chaos characteristic
Aperiodic,Periodic,No,No repeating pattern over time,Chaos characteristic
Bounded,Bounded,Yes,Oscillations remain within finite range,Chaos characteristic
