Parameter,Symbol,Value,Description
Maximum output-capital ratio,σ,0.4,Determines potential output given capital stock
Minimum wage parameter,w₀,0.05,Base wage level (wage floor)
Wage sensitivity,w₁,0.15,Linear coefficient in wage function
Wage nonlinearity,γ,2,Exponent in power wage function
Minimum accumulation rate,g_min,-0.1,Lower bound on accumulation (-10%)
Maximum accumulation rate,g_max,0.3,Upper bound on accumulation (30%)
Reference profit rate,r₀,0.2,Midpoint of logistic accumulation function (20%)
Smoothness parameter,δ,0.05,Steepness of accumulation function response
Labor supply growth rate,n,0.02,Exogenous growth rate of labor (2%)
Equilibrium inverse employment,u*,1.5,Approximate equilibrium value
Equilibrium employment rate,v*,0.67,Approximate equilibrium (67%)
Cycle period,T,10,Approximate number of time periods per cycle
Inverse employment range (min),u_min,1.2,Minimum value in limit cycle
Inverse employment range (max),u_max,2.0,Maximum value in limit cycle
Employment rate range (min),v_min,0.50,Minimum employment (50%)
Employment rate range (max),v_max,0.83,Maximum employment (83%)
Accumulation rate range (min),g_min_cycle,-0.05,Minimum in cycle (-5%)
Accumulation rate range (max),g_max_cycle,0.20,Maximum in cycle (20%)
