ISIC4_Code,ISIC4_Name,ISIC4_Description,NAICS_Code,NAICS_Name,NAICS_Description,Mapping_Quality,Coverage_Percentage,Mapping_Type,Comments
A01,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",111,"Agriculture, Forestry, Fishing and Hunting",Agricultural sector,0.52,0.7,One-to-Many,OECD ICIO 36-sector classification; Maps to 2 NAICS categories
A01,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",112,"Agriculture, Forestry, Fishing and Hunting",Agricultural sector,0.52,0.7,One-to-Many,OECD ICIO 36-sector classification; Maps to 2 NAICS categories
A02,Forestry and logging,Forestry and logging,113,"Agriculture, Forestry, Fishing and Hunting",Agricultural sector,0.6000000000000001,0.9,One-to-One,OECD ICIO 36-sector classification
A03,Fishing and aquaculture,"Fishing, hunting and trapping",114,"Agriculture, Forestry, Fishing and Hunting",Agricultural sector,0.6000000000000001,0.9,One-to-One,OECD ICIO 36-sector classification
B,Mining and quarrying,"Mining, quarrying, and oil and gas extraction",21,"Mining, Quarrying, and Oil and Gas Extraction",Mining sector,0.6000000000000001,0.9,One-to-One,OECD ICIO 36-sector classification
D,"Electricity, gas, steam and air conditioning supply",Utilities,22,Utilities,Utilities sector,0.75,0.9,One-to-One,OECD ICIO 36-sector classification
E,"Water supply, sewerage, waste management and remediation activities",Water and waste management,221,Utilities,Utilities sector,0.52,0.7,One-to-Many,OECD ICIO 36-sector classification; Maps to 2 NAICS categories
E,"Water supply, sewerage, waste management and remediation activities",Water and waste management,562,Administrative and Support and Waste Management and Remediation Services,Administrative services,0.52,0.7,One-to-Many,OECD ICIO 36-sector classification; Maps to 2 NAICS categories
F,Construction,Construction,23,Construction,Construction sector,0.75,0.9,One-to-One,OECD ICIO 36-sector classification
G45,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale trade,42,Wholesale Trade,Wholesale trade,0.9,0.9,One-to-One,OECD ICIO 36-sector classification
I,Accommodation and food service activities,Accommodation and food services,72,Accommodation and Food Services,Accommodation and food,0.825,0.9,One-to-One,OECD ICIO 36-sector classification
J58_J60,"Publishing, audiovisual and broadcasting activities",Information and publishing,511,Information,Information sector,0.595,0.7,One-to-Many,OECD ICIO 36-sector classification; Maps to 3 NAICS categories
J58_J60,"Publishing, audiovisual and broadcasting activities",Information and publishing,512,Information,Information sector,0.595,0.7,One-to-Many,OECD ICIO 36-sector classification; Maps to 3 NAICS categories
J58_J60,"Publishing, audiovisual and broadcasting activities",Information and publishing,515,Information,Information sector,0.595,0.7,One-to-Many,OECD ICIO 36-sector classification; Maps to 3 NAICS categories
J61,Telecommunications,Telecommunications,517,Information,Information sector,0.6000000000000001,0.9,One-to-One,OECD ICIO 36-sector classification
J62_J63,Information technology and other information services,"Data processing, hosting, and related services",518,Information,Information sector,0.52,0.7,One-to-Many,OECD ICIO 36-sector classification; Maps to 2 NAICS categories
J62_J63,Information technology and other information services,"Data processing, hosting, and related services",519,Information,Information sector,0.52,0.7,One-to-Many,OECD ICIO 36-sector classification; Maps to 2 NAICS categories
K,Financial and insurance activities,Finance and insurance,52,Finance and Insurance,Finance and insurance,0.9,0.9,One-to-One,OECD ICIO 36-sector classification
L,Real estate activities,Real estate and rental and leasing,53,Real Estate and Rental and Leasing,Real estate,0.72,0.9,One-to-One,OECD ICIO 36-sector classification
M_N,"Professional, scientific and technical activities; Administrative and support service activities","Professional, scientific, and technical services",54,"Professional, Scientific, and Technical Services",Professional services,0.57,0.7,One-to-Many,OECD ICIO 36-sector classification; Maps to 3 NAICS categories
M_N,"Professional, scientific and technical activities; Administrative and support service activities","Professional, scientific, and technical services",55,Management of Companies and Enterprises,Management,0.52,0.7,One-to-Many,OECD ICIO 36-sector classification; Maps to 3 NAICS categories
M_N,"Professional, scientific and technical activities; Administrative and support service activities","Professional, scientific, and technical services",56,Administrative and Support and Waste Management and Remediation Services,Administrative services,0.57,0.7,One-to-Many,OECD ICIO 36-sector classification; Maps to 3 NAICS categories
O,Public administration and defence; compulsory social security,Public administration,92,Public Administration,Government,0.6000000000000001,0.9,One-to-One,OECD ICIO 36-sector classification
P,Education,Educational services,61,Educational Services,Education,0.6000000000000001,0.9,One-to-One,OECD ICIO 36-sector classification
Q,Human health and social work activities,Health care and social assistance,62,Health Care and Social Assistance,Health care,0.72,0.9,One-to-One,OECD ICIO 36-sector classification
R_S,"Arts, entertainment and recreation; Other services","Arts, entertainment, and recreation",71,"Arts, Entertainment, and Recreation",Arts and entertainment,0.57,0.7,One-to-Many,OECD ICIO 36-sector classification; Maps to 2 NAICS categories
R_S,"Arts, entertainment and recreation; Other services","Arts, entertainment, and recreation",81,Other Services (except Public Administration),Other services,0.52,0.7,One-to-Many,OECD ICIO 36-sector classification; Maps to 2 NAICS categories
T,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Private households,814,Other Services (except Public Administration),Other services,0.6000000000000001,0.9,One-to-One,OECD ICIO 36-sector classification
