year,book,combined,original_combined
1948,0.54,0.54,0.54
1949,0.535,0.535,0.535
1950,0.53,0.53,0.53
1951,0.525,0.525,0.525
1952,0.52,0.52,0.52
1953,0.515,0.515,0.515
1954,0.51,0.51,0.51
1955,0.505,0.505,0.505
1956,0.5,0.5,0.5
1957,0.495,0.495,0.495
1958,0.49,0.49,0.49
1959,0.485,0.485,0.485
1960,0.48,0.48,0.48
1961,0.476,0.476,0.476
1962,0.472,0.472,0.472
1963,0.468,0.468,0.468
1964,0.464,0.464,0.464
1965,0.46,0.46,0.46
1966,0.456,0.456,0.456
1967,0.452,0.452,0.452
1968,0.448,0.448,0.448
1969,0.444,0.444,0.444
1970,0.44,0.44,0.44
1971,0.436,0.436,0.436
1972,0.432,0.432,0.432
1973,0.428,0.428,0.428
1974,0.424,0.424,0.424
1975,0.42,0.42,0.42
1976,0.416,0.416,0.416
1977,0.412,0.412,0.412
1978,0.408,0.408,0.408
1979,0.404,0.404,0.404
1980,0.4,0.4,0.4
1981,0.396,0.396,0.396
1982,0.391,0.391,0.391
1983,0.387,0.387,0.387
1984,0.382,0.382,0.382
1985,0.378,0.378,0.378
1986,0.373,0.373,0.373
1987,0.369,0.369,0.369
1988,0.364,0.364,0.364
1989,0.36,0.36,0.36
1990,,0.36997338283602627,0.35
1991,,0.38885180240393663,0.348
1992,,0.40868002133017717,0.346
1993,,0.4295049638003684,0.344
1994,,0.45137581649097896,0.342
1995,,0.4743441339813192,0.34
1996,,0.49551445800704175,0.336
1997,,0.5175562687979967,0.332
1998,,0.5405000885771186,0.328
1999,,0.5442258768948358,0.324
2000,,0.551652887238197,0.32
2001,,0.5711879859633084,0.318
2002,,0.5897133686697856,0.316
2003,,0.6026649078828988,0.314
2004,,0.6065422260758593,0.312
2005,,0.6099886468362793,0.31
2006,,0.6114056432680988,0.308
2007,,0.6172924168795184,0.306
2008,,0.6274225877406076,0.304
2009,,0.6642915110893374,0.302
2010,,0.6767120322361252,0.3
2011,,0.6748680446338848,0.298
2012,,0.671094779864774,0.296
2013,,0.6702716822991147,0.294
2014,,0.6644971529547142,0.292
2015,,0.6683045476127816,0.29
2016,,0.6748815088906976,0.288
2017,,0.6725036362177418,0.286
2018,,0.6693254157573058,0.284
2019,,0.6693527421019393,0.282
2020,,0.6778378690994105,0.28
2021,,0.6971441602306906,0.278
2022,,0.6847799523199704,0.275
2023,,0.6777243966253294,0.273
2024,,0.6734974922378792,0.27
