year,total_taxes,labor_taxes,nonlabor_taxes
1952,90.105,34.58,55.53
1953,94.619,36.31,58.31
1954,89.874,34.89,54.99
1955,101.101,38.56,62.54
1956,109.650,43.68,65.97
1957,116.173,47.35,68.82
1958,114.973,47.84,67.13
1959,129.424,53.68,75.74
1960,139.497,59.96,79.54
1961,144.818,62.27,82.55
1962,156.699,68.43,88.27
1963,168.503,74.28,94.22
1964,174.020,74.52,99.50
1965,188.351,80.74,107.61
1966,212.281,97.21,115.07
1967,228.196,108.52,119.68
1968,263.167,125.15,138.02
1969,296.740,144.77,148.97
1970,302.883,151.39,151.49
1971,322.644,157.06,165.58
1972,368.529,184.74,183.79
1973,413.439,211.25,202.19
1974,455.652,236.71,218.94
1975,470.962,241.70,229.26
1976,539.020,277.57,261.45
1977,606.149,315.86,290.29
1978,682.821,362.21,320.61
1979,766.124,413.94,352.18
1980,839.189,456.39,382.80
