year,gross_output_mNZD,total_value_mNZD,constant_capital_mNZD,variable_capital_mNZD,surplus_value_mNZD
1972,12469,10423,5094,1739,3589
1973,14633,12267,5957,1936,4374
1974,17168,14233,7153,2243,4837
1975,19336,15553,8284,2703,4565
1976,23027,18847,10057,3086,5705
1977,28500,23454,12242,3469,7743
1978,30745,25195,13413,3874,7908
1979,34190,28131,14635,4376,9120
1980,40781,33317,17582,5097,10638
1981,46954,38400,20357,5919,12125
1982,57460,46691,24982,7264,14445
1983,64974,52322,28233,7946,16144
1984,71968,57628,31113,8075,18440
1985,84376,67193,36451,8965,21778
1986,96955,77232,40856,10301,26075
1987,110313,87537,43522,11657,32357
1988,119113,93389,46054,12719,34615
1989,125455,96845,46857,13160,36828
1990,131699,100038,48679,13634,37724
1991,131538,100112,48569,13648,37895
1992,131967,100125,48899,13476,37751
1993,138622,105252,52527,13672,39053
1994,150844,115853,57198,14358,44297
1995,161646,123284,60887,15347,47049
