year,Lp_mohun,Y,V_star_mohun,lambda_lp_pct,e_mohun,Hp,lambda_m,V_star_hours,S_star
1948,18400.170694142387,2967298.385167367,1112758.1973726363,37.50071792358263,1.6666156153003726,36800341.38828477,12.401968596160946,13800392.218936102,22999949.169348672
1949,20095.911552249705,3419247.1816541483,1288243.390005534,37.67622875928828,1.6541934607865207,40191823.10449941,11.754582505806315,15142763.215379674,25049059.889119733
1950,21094.430689511373,3709460.803835003,1395946.6588565577,37.63206386797151,1.6573084152609971,42188861.37902275,11.37331369977169,15876539.259323806,26312322.11969894
1951,22861.55230433821,4393803.164147216,1643471.5756494335,37.40430588834563,1.6734889907730608,45723104.60867642,10.406270581661508,17102409.909477584,28620694.699198835
1952,23543.64269249179,4675073.43987052,1763442.9504342042,37.72011227449391,1.6511055765764344,47087285.384983584,10.071988384911384,17761376.914227165,29325908.47075642
1953,24193.39947302131,5073455.297822083,1913274.5813064391,37.71147017157644,1.6517131139419527,48386798.94604262,9.537247517843303,18247373.251517523,30139425.694525097
1954,24576.769333526503,5416739.685493358,2040518.3531820788,37.670600244032734,1.6545900344617062,49153538.66705301,9.074377120002968,18516433.05706159,30637105.609991416
1955,24864.79705655845,5602249.022862644,2120979.8997765514,37.85943629283317,1.6413494175276484,49729594.113116905,8.876719672790628,18827344.00194001,30902250.111176897
1956,25487.07547216768,6046042.190251586,2258434.7034675893,37.35393555653657,1.677094086877306,50974150.94433536,8.430994912097072,19040851.494238704,31933299.45009665
1957,27356.19312289422,6922586.09957203,2567275.6164013026,37.0854992552569,1.696471720973931,54712386.24578844,7.90346056500054,20290361.593715142,34422024.652073294
1958,29165.10818728672,7652139.828764188,2835403.9547110503,37.0537394527586,1.6987829427443968,58330216.37457345,7.622732683910418,21613526.397664774,36716689.97690867
1959,31478.52589708225,8475394.05496837,3174332.8272317406,37.45351315400977,1.6699765009706176,62957051.7941645,7.428215300179273,23579627.675104145,39377424.11906035
1960,32410.483800344755,9198007.04272972,3374474.820311998,36.687021488847925,1.7257595722344994,64820967.60068951,7.04728397136043,23780882.31294411,41040085.2877454
1961,34181.83232271453,9985188.010420464,3708144.2743815063,37.13644921369249,1.6927722525267508,68363664.64542906,6.846507504323932,25387837.60166881,42975827.043760255
1962,34491.41891805189,10381650.890521064,3850714.120405576,37.091539303459534,1.6960326230158098,68982837.83610378,6.644688649575798,25586796.408620182,43396041.4274836
1963,34311.19732511231,10946554.655745955,3989215.770084258,36.44266068676029,1.744036744724577,68622394.65022463,6.268857810361733,25007826.4375109,43614568.212713726
1964,34689.76425034491,11301140.067146083,4158773.6064609,36.79959350783562,1.7174213209368014,69379528.50068982,6.1391618976907765,25531384.46590681,43848144.034783006
1965,34775.78988473813,11616173.994848296,4269809.345328181,36.75744997640201,1.7205369269141144,69551579.76947626,5.987477443116983,25565387.141562577,43986192.62791368
1966,36059.2038232165,12471643.127239767,4582809.215446544,36.74583347752362,1.721396973106275,72118407.646433,5.782590706826478,26500509.98039993,45617897.66603307
1967,37221.89288615575,13450393.04850804,4872903.560371063,36.22870753885948,1.760241995736073,74443785.77231151,5.534692220802355,26970021.42830582,47473764.34400569
1968,39314.74501886334,14541857.610976206,5275487.514373867,36.27794780765783,1.7564955032790253,78629490.03772667,5.407114561373305,28525165.357314,50104324.68041267
1969,41572.29311489075,15886049.96952328,5734164.09146803,36.09559394858245,1.7704212359671447,83144586.22978151,5.233811198459712,30011532.23573093,53133053.99405058
1970,42650.70281741397,16587763.467191014,5963161.333108355,35.94915821474613,1.7817063031807128,85301405.63482794,5.142429586938941,30665137.271066666,54636268.36376128
1971,45118.693136514754,17933616.71895176,6558073.503368195,36.56860524089265,1.7345861112628795,90237386.2730295,5.031745000865836,32998553.565883618,57238832.707145885
1972,44802.57954896301,18811634.68914961,6734029.942004005,35.797154544406155,1.7935181237925102,89605159.09792602,4.7632840302607775,32076097.282045588,57529061.81588043
1973,44238.59470586346,18847122.262987807,6738794.645374365,35.75503226085654,1.7968091112443716,88477189.41172692,4.694466782628106,31635047.617662106,56842141.79406482
1974,44123.24319821582,19267003.59965286,6909413.411320562,35.86138018599348,1.7885150956643154,88246486.39643164,4.580187362295485,31646407.98740537,56600078.409026265
1975,44130.865528670576,19628898.69801808,7045222.088317276,35.89209051768466,1.7861291598695883,88261731.05734116,4.496519769917244,31678980.40357628,56582750.65376488
1976,44916.83421552428,20629182.449819367,7348946.917551412,35.62403374650342,1.807093680395338,89833668.43104856,4.354688735221068,32002376.35759873,57831292.07344983
1977,46920.47432800207,21806440.302511703,7807051.120586049,35.80158435894197,1.7931724752014646,93840948.65600416,4.303359344954407,33596546.39631075,60244402.2596934
1978,49684.91977513536,23253155.33258045,8422882.491092399,36.22253569729925,1.7607123045076047,99369839.5502707,4.2733916377809456,35994275.6034458,63375563.94682491
1979,50430.81632620099,25194835.461463444,8770014.957014091,34.80878043608658,1.872838368572347,100861632.65240198,4.003266177573339,35108704.25422681,65752928.39817517
1980,54044.43336604109,27090737.8678409,9663779.765838671,35.67189573418904,1.8033273237047769,108088866.7320822,3.989882714135786,38557347.8409349,69531518.89114729
1981,54338.04208151314,27913929.887441438,9851615.976073263,35.29283055377143,1.8334366620903944,108676084.16302627,3.893256327620139,38354866.23613089,70321217.92689538
1982,54942.99064969256,28586077.31095012,10169635.719928645,35.57548525915826,1.810924412457784,109885981.29938512,3.8440384843321063,39092471.07904416,70793510.22034095
1983,53677.29886109578,29040267.908402875,10156004.94710846,34.972146190737426,1.8594184484590075,107354597.72219156,3.696749563771353,37544206.8578829,69810390.86430866
1984,53132.285859987576,29492022.77537113,10286167.905213697,34.87779723879674,1.867153545143149,106264571.71997516,3.603163219062648,37062741.86116868,69201829.85880649
1985,53202.88780198007,30020349.971544664,10505126.238944275,34.9933503403583,1.8576857896532608,106405775.60396014,3.54445486827498,37234945.83946928,69170829.76449087
1986,54414.2669356988,31640951.369123563,11008238.431600828,34.791110744991954,1.8742974242176105,108828533.8713976,3.439483617347758,37862655.74134903,70965878.13004857
1987,56452.902627558666,32982239.334428277,11546649.788365938,35.00868958983343,1.856433678941246,112905805.25511733,3.4232304274519474,39526842.89066587,73378962.36445147
1988,58472.30262289827,35284415.45179614,12209558.599403473,34.603261647011216,1.889900987372307,116944605.24579656,3.314341579657473,40466647.735267386,76477957.51052916
1989,61837.68523795661,37811805.66364031,13158852.9969201,34.80091142426876,1.8734879607280632,123675370.47591324,3.2708136600532414,43040156.1329588,80635214.34295443
