,"Productive Wage Share (V*/W) — S&T 1994; share; period=[1948, 1989]; series_status=book_period_validated"
Year,S512-A
1948,0.54
1949,0.535
1950,0.53
1951,0.525
1952,0.52
1953,0.515
1954,0.51
1955,0.505
1956,0.5
1957,0.495
1958,0.49
1959,0.485
1960,0.48
1961,0.476
1962,0.472
1963,0.468
1964,0.464
1965,0.46
1966,0.456
1967,0.452
1968,0.448
1969,0.444
1970,0.44
1971,0.436
1972,0.432
1973,0.428
1974,0.424
1975,0.42
1976,0.416
1977,0.412
1978,0.408
1979,0.404
1980,0.4
1981,0.396
1982,0.391
1983,0.387
1984,0.382
1985,0.378
1986,0.373
1987,0.369
1988,0.364
1989,0.36
