,Summary Table — ; mixed; period=; series_status=book_period_validated,Summary Table — ; mixed; period=; series_status=book_period_validated,Summary Table — ; mixed; period=; series_status=book_period_validated,Summary Table — ; mixed; period=; series_status=book_period_validated
Year,S901-A/LpL_S511,S901-A/NSW_V_S608,S901-A/VW_S512,S901-A/e_S506
1948,0.57,nan,0.54,1.7
1949,0.565,nan,0.535,1.75
1950,0.56,nan,0.53,1.77
1951,0.555,nan,0.525,1.78
1952,0.55,-0.0857526348977569,0.52,1.75
1953,0.545,-0.0787895050685748,0.515,1.74
1954,0.54,-0.0611308619919606,0.51,1.86
1955,0.535,-0.0816204779289744,0.505,1.9
1956,0.53,-0.1051420586865393,0.5,1.84
1957,0.525,-0.098393984962406,0.495,1.88
1958,0.52,-0.0553124021296586,0.49,2.01
1959,0.519,-0.0971089775739772,0.485,1.99
1960,0.518,-0.1320148374124662,0.48,1.99
1961,0.517,-0.1095264490522137,0.476,2.03
1962,0.516,-0.1253021730744503,0.472,2.06
1963,0.514,-0.1385186778078152,0.468,2.07
1964,0.513,-0.1196441860465116,0.464,2.12
1965,0.512,-0.1143342355251287,0.46,2.1
1966,0.511,-0.1284541459409861,0.456,2.08
1967,0.51,-0.1015994636086192,0.452,2.1
1968,0.509,-0.1113772859737297,0.448,2.08
1969,0.508,-0.1431716560753387,0.444,2.01
1970,0.507,-0.0875716451577117,0.44,2.03
1971,0.506,-0.0403001425938163,0.436,2.08
1972,0.505,-0.0690977489978415,0.432,1.99
1973,0.504,-0.0814154228184296,0.428,1.94
1974,0.503,-0.059403513174404,0.424,1.95
1975,0.502,0.0478473524041387,0.42,2.11
1976,0.501,0.0107221025607553,0.416,2.11
1977,0.5,-0.0178230356138888,0.412,2.1
1978,0.488,-0.0460694161575016,0.408,2.07
1979,0.477,-0.0598416017329041,0.404,2.03
1980,0.465,-0.0261322236847692,0.4,2.07
1981,0.453,-0.0543539845924775,0.396,2.16
1982,0.442,-0.0082969498938374,0.391,2.19
1983,0.43,0.010708084741524,0.387,2.22
1984,0.418,-0.0306376792867295,0.382,2.26
1985,0.407,-0.0441869234186303,0.378,2.33
1986,0.395,-0.0413637774773421,0.373,2.4
1987,0.383,-0.0722265057969648,0.369,2.42
1988,0.372,-0.0822636143148784,0.364,2.4
1989,0.36,-0.0837336704244031,0.36,2.44
