Table 8.7 - Employed persons by major occupational groups [15+ age] ISCO-88 New Series Part 1 (Bin-Thousand)
Source: TurkStat Household Labour Force Survey Results
Note: (1) Revised by new population projections. Data from 2008 weighted by renewed projections.
Year,Sex,Total,Legislators_Senior_Officials_Managers,Professionals,Technicians_Associate_Professionals,Clerks
2001,Total,21524,1731,1237,1052,952
2002,Total,21354,1755,1324,1037,1140
2003,Total,21147,1845,1383,1062,1196
2004,Total,19632,1802,1288,1062,1111
2005,Total,20067,2070,1355,1194,1164
2006,Total,20423,1932,1405,1289,1292
2007,Total,20738,1835,1333,1401,1324
2008,Total,21194,1860,1322,1506,1406
2009,Total,21277,1850,1480,1356,1405
2010,Total,22594,1883,1608,1341,1535
2011,Total,24110,1974,1708,1448,1665
2001,Male,15556,1594,827,736,622
2002,Male,15232,1636,882,737,715
2003,Male,15256,1732,940,762,718
2004,Male,14585,1676,861,751,680
2005,Male,14959,1919,888,827,716
2006,Male,15165,1774,902,883,789
2007,Male,15382,1678,818,988,767
2008,Male,15598,1677,799,1035,822
2009,Male,15405,1661,885,919,804
2010,Male,16170,1694,976,906,874
2011,Male,17137,1770,1047,969,930
2001,Female,5969,138,410,316,330
2002,Female,6122,119,442,299,425
2003,Female,5891,114,443,300,478
2004,Female,5047,126,427,311,431
2005,Female,5108,152,467,366,448
2006,Female,5258,158,503,406,503
2007,Female,5356,157,515,413,557
2008,Female,5595,183,522,471,584
2009,Female,5872,189,595,437,601
2010,Female,6425,189,632,435,661
2011,Female,6973,204,661,479,735
