Table,17.15,Fiyat endeksleri ve degisim oranlari / Price indexes and rates of change,Source: Hazine Mustesarligi (1938-1982); TurkStat (1983-2008)
Unit,"Index numbers and annual % change; GNP and GDP deflators use 1987 producer prices as base",,,,,,,,
Note_1,"1983-1987 calculated from 1978-1979=100 base year extension",,,,,,,,
Note_2,"From January 2006 WPI series continued using monthly PPI rate of change",,,,,,,,
Note_3,"1999 onwards GDP deflator uses ESA-95 national accounts",,,,,,,,
ST2_RELEVANCE,GDP_deflator (GSYH fiyat deflatori) DIRECTLY USEFUL for deflating Turkish national accounts series,,,,,,,,
Year,CPI_Consumer_Price_Index,CPI_pct_change,WPI_Wholesale_Price_Index,WPI_pct_change,GNP_Deflator_GSMH,GNP_Deflator_pct_change,GDP_Deflator_GSYH,GDP_Deflator_pct_change
1938,100,,100,,0.03,,0.03,
1939,102,2.1,101,1.3,0.03,1.8,0.03,1.8
1940,111,8.5,127,25.0,0.04,22.5,0.04,22.5
1941,132,19.6,175,38.5,0.05,38.9,0.05,38.9
1942,221,66.7,340,93.7,0.10,96.0,0.10,96.0
1943,322,45.8,590,73.8,0.17,65.2,0.17,65.1
1944,330,2.5,459,-22.2,0.13,-23.7,0.13,-23.7
1945,333,0.9,445,-3.2,0.12,-3.4,0.12,-3.4
1946,320,-3.8,428,-3.8,0.12,-5.0,0.12,-5.0
1947,325,1.5,433,1.3,0.12,5.6,0.12,5.6
1948,330,1.4,467,7.7,0.13,8.6,0.13,8.6
1949,354,7.5,504,7.9,0.13,0.4,0.13,0.4
1950,339,-4.3,452,-10.2,0.13,-2.1,0.13,-2.1
1951,335,-1.1,482,6.7,0.14,6.5,0.14,6.5
1952,353,5.1,486,0.8,0.14,2.7,0.14,2.7
1953,370,4.8,498,2.3,0.15,4.8,0.15,4.8
1954,403,9.0,552,11.0,0.16,5.1,0.16,5.1
1955,451,11.9,592,7.2,0.17,11.3,0.18,11.3
1956,503,11.5,691,16.8,0.20,11.8,0.20,11.8
1957,565,12.5,821,18.7,0.24,23.3,0.24,23.2
1958,654,15.7,945,15.1,0.28,14.2,0.28,14.1
1959,802,22.6,1129,19.5,0.33,19.9,0.33,19.5
1960,861,7.4,1189,5.3,0.34,3.3,0.34,3.9
1961,873,1.3,1223,2.9,0.36,4.1,0.36,4.3
1962,906,3.8,1293,5.7,0.39,9.5,0.39,9.5
1963,965,6.5,1347,4.2,0.41,5.7,0.41,5.7
1964,972,0.8,1363,1.2,0.42,2.6,0.42,2.6
1965,1037,6.7,1474,8.1,0.44,4.3,0.44,4.2
1966,1094,5.5,1545,4.8,0.47,6.4,0.47,6.3
1967,1163,6.3,1662,7.6,0.50,6.5,0.50,6.7
1968,1211,4.1,1715,3.2,0.52,3.9,0.52,3.9
1969,1280,5.7,1839,7.2,0.56,7.2,0.56,7.4
1970,1431,11.8,1962,6.7,0.60,8.5,0.61,9.0
1971,1743,21.8,2274,15.9,0.71,17.4,0.72,17.5
1972,2010,15.3,2683,18.0,0.78,10.2,0.80,11.3
1973,2327,15.8,3233,20.5,0.94,21.1,0.97,21.8
1974,2686,15.4,4200,29.9,1.23,30.5,1.25,28.4
1975,3196,19.0,4624,10.1,1.49,21.2,1.51,21.0
1976,3720,16.4,5345,15.6,1.72,15.3,1.73,15.1
1977,4558,22.5,6633,24.1,2.13,24.0,2.15,23.7
1978,6987,53.3,10123,52.6,3.13,46.7,3.15,46.7
1979,11318,62.0,16591,63.9,5.50,75.6,5.53,75.7
1980,22795,101.4,34377,107.2,10.42,89.6,10.40,88.1
1981,30546,34.0,47027,36.8,15.05,44.3,14.98,44.1
1982,39221,28.4,59725,27.0,19.31,28.3,19.21,28.2
1983,51536,31.4,77941,30.5,24.32,26.0,24.25,26.3
1984,76479,48.4,117145,50.3,36.13,48.5,35.95,48.2
1985,110895,45.0,167751,43.2,55.24,52.9,55.03,53.1
1986,149265,34.6,217406,29.6,74.92,35.6,74.84,36.0
1987,207329,38.9,287193,32.1,100,33.5,100,33.6
1988,360130,73.7,483346,68.3,170,69.7,169,69.3
1989,588092,63.3,792204,63.9,298,75.5,297,75.5
1990,942712,60.3,1206526,52.3,470,57.6,470,58.3
1991,1563958,65.9,1874942,55.4,747,59.2,747,58.8
1992,2660293,70.1,3039281,62.1,1222,63.5,1223,63.7
1993,4418747,66.1,4814220,58.4,2045,67.4,2052,67.8
1994,9115875,106.3,10624985,120.7,4238,107.3,4236,106.5
1995,17137846,88.0,19762471,86.0,7932,87.2,7930,87.2
1996,30911933,80.4,34775575,76.0,14120,78.0,14103,77.8
1997,57411783,85.7,63218658,81.8,25587,81.2,25602,81.5
1998,106017630,84.7,108629843,71.8,44859,75.3,44977,75.7
1999,174787793,64.9,166270384,53.1,69868,55.8,69355,54.2
2000,270777960,54.9,251801511,51.4,105415,50.9,103478,49.2
2001,418081170,54.4,406911241,61.6,163740,55.3,158218,52.9
2002,606217697,45.0,610773773,50.1,236409,44.4,217391,37.4
2003,759590774,25.3,767131859,25.6,289596,22.5,268044,23.3
2004,824902377,8.6,878856359,14.6,317004,9.5,301281,12.4
2005,892372465,8.2,930643289,5.9,333951,5.3,322625,7.1
2006,978040222,9.6,1017193114,9.3,373056,11.7,352728,9.3
2007,1064107761,8.8,1081276280,6.3,,,374671,6.2
2008,1174774968,10.4,1218783589,12.7,,,419611,12.0
2009,1248788980,6.3,1233832194,1.2,,,441826,5.3
2010,1355793294,8.6,1338902781,8.5,,,466903,5.7
2011,1443919858,6.5,,,,,508349,8.9
