Table,19.12 Türkiye brüt dış borç stoku (Profil) / Gross External Debt of Turkey (Profile)
Source,Hazine Müsteşarlığı / Undersecretariat of Treasury
Unit,Million USD
Notes,"(1) Private sector debt monitored by CBRT since 01.10.2001. I=Public sector, II=CBRT, III=Private sector."
,,,,,,,,,,,
Year,PublicSector_ShortTerm,PublicSector_LongTerm,PublicSector_Total,CBRT_ShortTerm,CBRT_LongTerm,CBRT_Total,PrivateSector_ShortTerm,PrivateSector_LongTerm,PrivateSector_Total,GrossExtDebt_Total,GrossExtDebt_GDP_pct
1989,0,29446,29446,799,7028,7827,4946,1692,6638,43911,30.8
1990,0,33268,33268,855,7487,8342,8645,2125,10770,52381,26.1
1991,281,34999,35280,557,6658,7215,8279,2849,11128,53623,26.7
1992,400,36076,36476,572,6158,6730,11688,3702,15390,58595,27.8
1993,65,39575,39640,667,6626,7293,17741,5838,23579,70512,29.6
1994,36,41705,41741,828,8949,9777,10323,6863,17186,68705,38.8
1995,250,41753,42003,993,11178,12171,14257,7517,21774,75948,33.6
1996,0,40192,40192,984,11397,12381,16088,10637,26725,79299,32.6
1997,204,38864,39068,889,10876,11765,16598,16925,33523,84356,33.2
1998,1602,39737,41339,905,12081,12986,18267,23760,42026,96351,35.6
1999,1581,42526,44107,686,10320,11006,20654,27357,48011,103123,41.7
2000,2461,47621,50081,653,13437,14090,25187,29244,54431,118602,44.7
2001,1019,46110,47129,752,23599,24351,14632,27480,42112,113592,57.7
2002,915,63618,64533,1655,20348,22003,13854,29202,43056,129591,56.2
2003,1341,69503,70844,2860,21513,24373,18812,30058,48870,144087,47.3
2004,1840,73828,75668,3287,18123,21410,27078,36852,63930,161008,41.2
2005,2133,68278,70411,2763,12662,15425,34024,50710,84734,170570,35.4
2006,1750,69837,71587,2563,13115,15678,38547,82594,121141,208406,39.6
2007,2163,71362,73525,2282,13519,15801,38707,122379,161086,250412,38.6
2008,3248,75040,78288,1874,12192,14066,47405,141624,189029,281382,37.9
2009,3598,79866,83464,1776,11529,13305,43671,129108,172779,269548,43.6
2010,4290,84786,89076,1576,10251,11827,71603,119716,191319,292222,39.9
2011,7013,87268,94281,1269,8430,9699,75565,127159,202724,306704,39.6
