Table,11.42 - Employment and basic indicators in financial intermediary institutions by economic activity
Indicator,Value added at factor cost (Faktor maliyetiyle katma deger) - Turkish Lira
Source,TurkStat Financial Intermediary Institution Statistics
NACE_Code,Description_EN,2002,2003,2004,2005,2006,2007,2008,2009,2010
K,Financial and insurance activities,12571660625,16748987960,19525187087,22999853673,29254357418,29337406284,32262900621,59876795161,53837498991
64,Financial service activities (except insurance and pension funding),11377339647,15019932929,17348585501,20544927836,25422399254,24788920619,28654826231,55542735445,48906679679
64.11+64.19,"Monetary intermediation (central bank, commercial banks, special finance houses)",8903412241,12869530377,14959583601,18001448923,23202535985,22043351250,25248683000,50425411903,43522636710
64.91,Financial leasing companies,387476466,458217712,472113941,156556448,446905000,491451000,655809000,846708000,851961000
64.92,Other Credit Granting,,,,,,,,779826924,800878984
64.99,"Other Financial Service Activities n.e.c. (Banks of Development and Investment, Factoring, Asset Management etc.)",,,,,,,,3490788618,3731202985
64.92+64.99 (2002-2008),"Other credit granting and other financial service activities n.e.c. (agricultural credit cooperatives, banks of development and investment, factoring)",2086450940,1692184840,1916887959,2386922465,1772958269,2254118369,2750334231,,
65,Insurance reinsurance and pension funding (except compulsory social security),683666181,799057127,954146205,1191367396,2393409673,2831249204,2193220601,2268622797,2433540724
65.11,Life insurance,245703202,282508732,381552604,579770461,341888782,840095233,576237350,618080633,821129687
65.12+65.20,Non-life insurance and reinsurance,437962979,516548395,572593601,611596935,2051520891,1991153971,1616983251,1650542164,1612411037
66,Activities auxiliary to financial services and insurance activities,510654797,929997904,1222455381,1263558441,1438548491,1717236461,1414853789,2065436919,2497278588
66.11,Administration of Financial Markets (Stock Markets),,,,,,,,122577096,142822869
66.12,"Security and commodity contracts brokerage (mutual funds companies and foreign exchange offices)",351299390,466994125,645975309,665083987,631767064,769109153,531137170,656838140,832121044
66.19,"Other activities auxiliary to financial services (except insurance and pension funding) (credit surety cooperatives)",,159166634,160975848,122791105,192719024,264072828,102406543,119697667,158631044
66.21,Risk and Damage Evaluation (Insurance Experts),,,,,,,,62881776,87224873
66.22,Activities of insurance agents and brokers (insurance agents - legal entity),159355407,303837145,415504224,475683349,614062403,684054480,781310076,950832897,1116196753
66.30,Fund management activities (portfolio management companies),,,,,,,,152609343,160282005
Notes,Value added at factor cost = Production value minus purchase of goods and services. Key indicator for labor share analysis when combined with compensation of employees data.,,,,,,,,,,
