Table 8.4 - Employed persons by kind of economic activity [15+ age] Old Series (Bin-Thousand)
Source: 1988-2009: TurkStat Household Labour Force Survey Results. Pre-1988: BULUTAY T. (1995) ILO/SIS Ankara updated results.
Year,Total,Agriculture_Forestry_Hunting_Fishing,Mining_Quarrying,Manufacturing,Electricity_Gas_Water,Construction,Wholesale_Retail_Trade_Restaurants_Hotels,Transportation_Communication_Storage,Finance_Insurance_RealEstate_BusinessServices,Community_Social_Personal_Services
1923,5031,4525,17,159,1,40,138,19,13,119
1924,5161,4618,28,162,1,56,141,21,13,121
1925,5280,4712,24,166,1,73,144,22,14,124
1926,5447,4809,33,197,1,74,147,23,16,147
1927,5593,4909,36,207,1,94,150,24,17,155
1928,6058,5345,39,213,1,106,153,25,17,159
1929,6197,5459,34,215,1,127,156,26,19,160
1930,5975,5229,35,212,1,132,160,29,18,159
1931,6026,5341,37,201,1,86,163,29,18,150
1932,6150,5455,41,202,2,84,166,31,18,151
1933,6259,5571,40,177,2,99,170,31,18,151
1934,6420,5690,50,185,2,117,174,32,18,152
1935,6638,5835,53,256,2,114,174,34,18,152
1936,6802,5937,53,298,2,130,177,35,17,153
1937,6942,6040,58,319,2,136,181,36,17,153
1938,7124,6146,63,347,3,172,184,37,18,154
1939,7328,6326,62,367,3,172,189,37,18,154
1940,7259,6243,66,408,3,163,171,32,18,155
1941,7272,6311,56,401,3,125,173,29,18,156
1942,7303,6379,68,370,3,102,175,26,18,162
1943,7459,6448,75,411,3,131,178,26,18,169
1944,7573,6518,74,447,3,124,180,26,18,183
1945,7681,6559,70,490,3,121,186,30,19,203
1946,8073,6825,78,529,4,138,220,40,19,220
1947,8267,6974,84,555,4,130,225,53,24,218
1948,8312,7127,79,412,4,145,230,66,25,224
1949,8560,7246,79,467,4,172,235,65,27,265
1950,8790,7408,79,482,5,195,240,72,29,280
1951,9117,7544,85,518,5,226,296,77,33,333
1952,9520,7681,88,533,6,356,351,82,36,387
1953,9896,7819,99,605,7,415,407,72,43,429
1954,10199,7956,103,629,8,411,463,84,52,493
1955,10482,8093,110,667,8,407,519,78,59,541
1956,10613,8142,117,682,9,382,549,93,67,572
1957,10845,8192,124,735,10,410,579,117,74,604
1958,11771,8242,131,803,10,453,610,128,81,636
1959,11164,8292,136,814,14,386,640,131,84,667
1960,11945,8342,134,791,13,390,670,134,86,699
1961,12088,8344,131,843,16,394,679,185,85,718
1962,12219,8346,123,850,16,463,688,212,87,738
1963,12365,8348,117,866,16,524,698,243,98,758
1964,12573,8351,128,972,17,539,735,247,103,778
1965,12761,8352,140,1019,18,585,765,267,108,798
1966,13014,8364,149,1074,18,641,805,274,120,855
1967,13174,8375,145,1141,20,561,824,337,133,916
1968,13396,8347,145,1197,21,608,844,373,150,981
1969,13537,8286,148,1233,22,622,863,411,169,1052
1970,13768,8243,155,1338,22,662,883,420,183,1127
1971,14011,8332,164,1376,25,642,917,449,193,1166
1972,14405,8421,163,1520,26,673,952,477,206,1205
1973,14679,8413,170,1628,28,704,986,506,229,1245
1974,14985,8405,183,1769,30,733,1021,535,247,1284
1975,15169,8398,188,1787,34,774,1055,563,265,1323
1976,15380,8319,192,1830,38,815,1128,575,287,1410
1977,15873,8383,204,2002,42,845,1202,586,313,1496
1978,16085,8375,192,2013,43,867,1275,597,329,1582
1979,16320,8368,198,2038,45,893,1349,608,339,1669
1980,16523,8360,196,2060,44,897,1422,619,347,1755
1981,16664,8353,191,2073,46,899,1486,634,352,1806
1982,16837,8326,194,2136,50,902,1529,643,355,1871
1983,17004,8300,195,2208,52,905,1576,654,357,1922
1984,17260,8272,199,2258,55,936,1653,675,368,2003
1985,17547,8246,222,2339,59,962,1728,698,377,2069
1986,17865,8223,229,2373,63,1016,1844,730,385,2146
1987,18268,8197,230,2445,65,1078,1984,764,411,2228
1988,17755,8249,229,2550,27,1012,2029,778,428,2452
1989,18222,8639,184,2635,28,942,2041,829,439,2484
1990,18539,8691,194,2625,26,893,2154,816,416,2726
1991,19288,9212,176,2736,22,975,2190,821,432,2725
1992,19459,8718,159,2949,48,1049,2377,875,474,2812
1993,18500,7862,135,2706,101,1238,2412,933,429,2685
1994,20006,8813,180,3013,102,1208,2538,894,479,2782
1995,20586,9080,154,3027,114,1238,2717,878,482,2897
1996,21194,9259,164,3237,86,1298,2737,907,508,3001
1997,21204,8837,159,3445,111,1320,2896,907,527,3003
1998,21779,9039,148,3463,112,1325,2995,968,544,3186
1999,22048,8856,134,3555,95,1365,3204,952,580,3309
2000,21580,7769,81,3638,91,1364,3817,1067,709,3044
2001,21524,8089,98,3581,95,1110,3737,1034,697,3083
2002,21354,7458,120,3731,103,958,3980,1004,697,3303
2003,21147,7165,83,3663,100,965,4052,1022,738,3359
2004,19632,5713,97,3742,80,966,4027,1043,794,3169
2005,20067,5154,110,3994,74,1107,4336,1074,869,3349
2006,20423,4907,118,4066,85,1196,4492,1101,996,3462
2007,20738,4867,128,4088,98,1231,4557,1136,1055,3579
2008,21194,5016,115,4235,91,1241,4573,1089,1169,3664
2009,21277,5254,103,3949,78,1249,4542,1081,1339,3682
