Table,20.16
Title,Sectoral shares in Gross National Product (At constant prices)
Unit,Percent (%)
Source,TurkStat Statistical Indicators 1923-2011
Page,733
Note,"1923-1947 based on 1948 prices; 1948-1967 based on 1968 prices; 1968-2006 based on 1987 prices"

Year,Agriculture_pct,Industry_pct,Services_pct
1923,43.1,10.6,46.3
1924,47.8,8.5,43.7
1925,44.7,8.9,46.4
1926,49.9,8.7,41.5
1927,39.5,11.9,48.6
1928,42.4,10.6,46.9
1929,49.8,9.1,41.2
1930,46.8,10.0,43.2
1931,49.2,10.5,40.3
1932,39.3,13.9,46.9
1933,41.4,14.2,44.4
1934,40.1,15.3,44.6
1935,38.8,15.7,45.4
1936,48.6,12.3,39.1
1937,46.2,13.4,40.4
1938,44.4,14.2,41.4
1939,43.2,15.5,41.4
1940,44.8,14.6,40.6
1941,41.8,15.9,42.3
1942,47.2,14.7,38.1
1943,45.8,16.0,38.2
1944,43.1,15.9,41.1
1945,39.0,15.6,45.4
1946,45.5,14.9,39.5
1947,38.6,15.2,46.2
1948,44.3,12.8,42.8
1949,40.4,13.1,46.5
1950,40.9,13.1,45.9
1951,43.4,11.9,44.6
1952,42.5,11.8,45.7
1953,41.5,12.7,45.8
1954,36.8,14.3,48.9
1955,37.5,14.7,47.8
1956,38.2,15.6,46.2
1957,37.7,16.0,46.3
1958,39.3,16.2,44.4
1959,37.9,16.1,45.9
1960,37.5,15.7,46.8
1961,35.0,17.2,47.8
1962,34.6,16.7,48.7
1963,34.6,17.1,48.3
1964,33.1,18.2,48.6
1965,30.9,19.4,49.8
1966,30.5,19.9,49.6
1967,29.3,20.7,50.0
1968,33.0,17.1,49.8
1969,31.2,18.4,50.4
1970,30.7,17.5,51.7
1971,30.2,17.8,52.0
1972,27.9,18.1,54.0
1973,24.5,19.3,56.2
1974,25.2,20.0,54.8
1975,24.5,20.6,55.0
1976,24.0,20.5,55.5
1977,22.8,21.3,56.0
1978,23.1,21.7,55.2
1979,23.2,20.7,56.1
1980,24.2,20.5,55.4
1981,22.6,21.5,55.9
1982,22.7,21.9,55.4
1983,21.6,22.4,56.0
1984,20.3,23.1,56.6
1985,19.4,23.6,57.0
1986,18.8,25.0,56.2
1987,17.2,24.9,57.9
1988,18.3,25.1,56.7
1989,16.6,25.9,57.5
1990,16.3,25.9,57.9
1991,16.1,26.5,57.4
1992,15.8,26.5,57.8
1993,14.5,26.5,59.0
1994,15.3,26.6,58.1
1995,14.4,27.7,57.9
1996,14.0,27.7,58.3
1997,12.7,28.1,59.2
1998,13.4,27.6,59.0
1999,13.4,27.9,58.7
2000,13.1,27.8,59.0
2001,13.6,28.5,57.9
2002,13.6,28.8,57.6
2003,12.5,29.3,58.2
2004,11.6,29.2,59.2
2005,11.4,28.9,59.7
2006,11.1,29.3,59.6
