table_number,table_name,source_chunk,pages,unit,methodology,price_base
20.30,Share of GDP by expenditure approach ESA-95 [At 1998 prices],chunk_026,"763",Percent (%),ESA-95,1998

Year,Resident_HH_Consumption_pct,Resident_NonResident_HH_Domestic_Consumption_pct,Less_NonResident_HH_Domestic_Consumption_pct,Resident_HH_Abroad_Consumption_pct,Govt_Final_Consumption_pct,Govt_CompensationEmployees_pct,Govt_PurchasesGoodsServices_pct,GFCF_Total_pct,GFCF_PublicSector_pct,GFCF_PrivateSector_pct,Change_in_Stocks_pct,Exports_GoodsServices_pct,Less_Imports_GoodsServices_pct,GDP_pct
1998,66.5,70.8,4.9,0.6,10.3,6.6,3.6,22.9,4.6,18.3,-0.7,21.3,20.2,100.0
1999,68.8,72.0,3.8,0.6,11.0,7.0,4.1,19.8,4.5,15.3,0.7,19.7,20.1,100.0
2000,68.3,72.9,5.3,0.6,10.9,6.5,4.4,21.8,5.0,16.8,0.5,21.4,22.9,100.0
2001,67.6,73.1,6.1,0.7,11.5,7.1,4.3,16.2,4.2,12.0,-0.6,23.6,18.3,100.0
2002,66.7,72.2,6.2,0.7,11.4,6.8,4.6,17.5,4.3,13.2,1.4,23.8,20.8,100.0
2003,69.8,74.9,5.8,0.7,10.6,6.6,4.0,19.0,3.5,15.5,1.0,24.1,24.4,100.0
2004,70.8,75.4,5.2,0.7,10.2,6.0,4.2,22.3,2.9,19.3,-0.9,24.5,27.0,100.0
2005,70.5,74.8,5.0,0.7,9.7,5.5,4.2,24.1,3.4,20.7,-0.8,24.4,27.9,100.0
2006,69.0,73.2,4.7,0.5,9.8,5.2,4.7,25.5,3.3,22.3,-0.8,24.4,27.9,100.0
2007,69.5,73.2,4.2,0.5,10.0,5.0,5.0,25.2,3.3,21.9,-0.1,25.0,29.5,100.0
2008,68.9,72.4,4.0,0.5,10.1,4.9,5.2,23.5,3.7,19.8,0.2,25.5,28.1,100.0
2009,70.7,74.6,4.6,0.7,11.4,5.3,6.2,20.0,3.9,16.1,-2.2,25.4,25.3,100.0
2010,69.1,72.4,4.0,0.7,10.7,4.9,5.8,23.9,4.2,19.7,0.3,24.1,28.0,100.0
2011,68.6,71.6,3.5,0.6,10.3,4.7,5.6,26.1,3.7,22.3,0.0,23.6,28.6,100.0
