Table_Reference,Turkish_Title,English_Title
1.26,"İşgücü durumu ve cinsiyete göre nüfus oranı [15 ve daha yukarı yaştaki nüfus]","Ratio of population by labor force and sex [Population 15 years of age and over]"
Units: Percent (%)

Census_Year,Sex,Total,Labor_Force_Participation_Rate,Not_In_Labor_Force_Rate
1955,Total,100,83.7,16.3
1960,Total,100,79.6,20.4
1965,Total,100,74.3,25.7
1970,Total,100,67.8,32.2
1975,Total,100,66.8,33.2
1980,Total,100,65.6,34.4
1985,Total,100,63.9,36.1
1990,Total,100,63.6,36.4
2000,Total,100,58.9,41.1
1955,Male,100,95.3,4.7
1960,Male,100,93.6,6.4
1965,Male,100,91.8,8.2
1970,Male,100,84.7,15.3
1975,Male,100,85.4,14.6
1980,Male,100,84.9,15.1
1985,Male,100,83.3,16.7
1990,Male,100,83.3,16.7
2000,Male,100,75.9,24.1
1955,Female,100,72.0,28.0
1960,Female,100,65.3,34.7
1965,Female,100,56.6,43.4
1970,Female,100,50.9,49.1
1975,Female,100,47.4,52.6
1980,Female,100,46.3,53.7
1985,Female,100,44.3,55.7
1990,Female,100,43.7,56.3
2000,Female,100,41.8,58.2

Source: Table 1.25
Note: Proportions exclude unknown.
