Table,20.22
Title,Growth rate of Gross Domestic Product by expenditure approach (At current prices)
Unit,Percent (%)
Source,TurkStat Statistical Indicators 1923-2011
Pages,745-747
Note,Growth rates are year-on-year percent changes

Year,Private_consump_total_pct,Private_consump_food_beverages_pct,Private_consump_durable_goods_pct,Private_consump_semi_durable_nondurable_pct,Private_consump_energy_transport_commun_pct,Private_consump_services_pct,Private_consump_ownership_dwelling_pct,GFCF_general_total_pct,GFCF_public_total_pct,GFCF_public_machinery_equip_pct,GFCF_public_building_constr_pct,GFCF_public_other_constr_pct,GFCF_private_total_pct,GFCF_private_machinery_equip_pct,GFCF_private_building_constr_pct,Govt_consump_total_pct,Govt_consump_wage_salaries_pct,Govt_consump_other_current_pct,Export_goods_services_pct,Import_goods_services_pct,GDP_pct
1981,49.5,,,,,,,,37.8,59.7,50.7,64.3,69.3,12.9,48.6,5.8,26.6,17.7,82.1,137.0,62.0,51.1
1982,38.7,,,,,,,,21.4,22.4,31.3,10.6,18.1,20.0,72.5,5.3,14.3,15.5,9.6,84.7,54.2,32.8
1983,31.4,,,,,,,,45.5,37.1,39.4,31.6,36.7,59.3,82.3,48.6,50.5,30.2,136.2,39.6,47.3,32.5
1984,56.3,,,,,,,,67.2,50.5,33.1,73.3,63.0,90.5,139.6,62.9,38.2,37.3,40.4,97.5,87.8,58.2
1985,57.0,,,,,,,,70.2,76.1,85.7,58.8,74.6,63.7,45.3,78.9,43.5,58.8,8.8,62.3,51.8,59.5
1986,35.9,,,,,,,,78.9,53.6,35.2,56.2,74.2,109.1,102.4,113.7,47.2,33.9,91.3,21.4,24.8,45.5
1987,37.8,,,,,,,,57.4,40.4,26.3,46.6,50.9,72.2,65.7,76.4,70.8,58.3,99.9,71.8,58.8,45.7
1988,60.8,53.1,52.3,67.3,85.5,88.1,33.9,82.5,50.4,61.4,46.7,43.3,105.4,67.9,127.9,68.3,67.9,69.0,107.1,70.9,69.1
1989,81.8,87.7,84.3,66.6,91.0,100.8,44.0,53.6,50.3,34.7,48.5,64.8,55.4,44.7,60.1,115.9,144.1,64.2,52.8,78.2,75.0
1990,80.7,78.3,114.0,100.9,65.7,61.5,58.1,73.4,63.6,48.9,75.3,69.5,78.4,141.4,53.3,102.8,109.4,85.1,41.8,70.8,77.8
1991,65.0,58.6,65.4,67.7,75.6,64.0,76.4,67.0,68.3,61.2,47.8,81.1,66.4,67.9,65.5,80.8,87.7,59.5,67.0,51.8,65.6
1992,70.9,65.1,65.3,62.8,93.6,79.6,74.7,72.1,69.5,81.9,67.8,63.0,73.3,78.0,70.3,80.5,83.2,70.6,80.4,80.9,74.2
1993,80.1,86.8,93.8,68.8,74.0,79.7,65.3,103.4,76.8,80.9,112.4,62.1,115.6,144.5,96.3,83.6,82.3,88.4,72.2,102.1,82.6
1994,97.6,102.4,48.8,96.3,118.4,113.6,87.4,81.2,53.8,19.3,25.3,90.4,91.6,65.2,113.5,74.6,69.0,95.8,204.9,105.7,95.2
1995,101.7,113.3,113.3,96.6,78.9,99.0,94.7,94.3,37.7,53.1,75.8,19.8,111.4,163.7,77.8,85.8,79.9,105.0,86.8,139.7,96.9
1996,82.1,65.4,112.0,74.7,104.1,100.5,76.3,100.3,125.7,101.4,131.2,137.0,95.3,112.2,79.3,104.2,99.8,116.5,106.1,117.5,81.0
1997,97.4,89.5,131.4,85.4,97.8,108.0,91.2,105.5,138.1,128.3,134.6,144.3,98.1,105.3,90.1,106.8,108.3,102.9,122.7,113.2,100.2
1998,84.1,99.5,70.8,67.1,73.3,81.3,107.5,68.5,95.8,112.0,109.5,83.0,61.1,51.8,72.3,87.6,90.5,79.8,79.4,66.3,86.4
1999,54.8,52.6,46.7,55.2,64.9,38.1,96.9,31.9,38.7,42.1,50.0,31.7,29.6,17.8,42.3,77.1,78.6,72.8,41.4,42.7,54.9
2000,59.3,50.5,91.5,59.8,56.6,54.9,66.6,64.5,68.2,69.5,86.0,58.0,63.2,101.1,29.4,49.3,43.9,65.4,66.7,88.9,54.2
2001,44.2,40.3,8.0,48.6,71.5,52.9,47.1,16.4,33.8,21.7,31.7,42.4,10.0,-14.1,43.2,44.9,46.6,40.2,100.8,42.2,47.2
2002,43.5,39.4,40.9,47.9,47.9,49.2,37.1,42.1,47.9,61.9,61.4,33.0,39.5,70.5,13.8,52.4,50.3,58.2,34.9,52.6,47.9
2003,29.9,31.6,47.6,24.1,24.9,28.2,25.7,20.8,1.4,-19.0,-13.2,24.2,30.0,47.9,7.7,26.6,31.3,14.3,21.4,29.5,28.9
2004,18.8,12.0,42.6,23.6,10.5,20.1,25.8,37.9,7.1,19.8,-13.0,11.8,49.3,59.4,32.2,15.9,16.4,14.3,26.2,35.3,19.1
2005,15.4,8.0,32.2,18.4,13.4,12.0,21.7,24.2,28.9,35.8,25.2,27.3,23.0,12.8,43.9,12.1,12.2,12.0,7.4,10.9,12.6
2006,16.5,11.1,15.0,29.8,12.9,17.9,22.8,27.1,19.6,-12.8,11.9,37.5,29.1,16.2,49.9,18.8,25.1,29.9,21.7,24.9,14.8
