Table_20.6,GDP_sectoral_shares_at_current_prices,Unit:Billion_TL_and_percent
Note: ESA-95 series. 2005-2008 data in Thousand YTL.
Year,GDP_total_BillionTL,GDP_pct,Agriculture_BillionTL,Agriculture_share_pct,Industry_BillionTL,Industry_share_pct,Services_BillionTL,Services_share_pct
1998,70203147,100.0,8757483,12.5,22916660,32.6,36320439,51.7
1999,104595916,100.0,10977132,10.5,31705728,30.3,59556930,56.9
2000,166658021,100.0,16817322,10.1,46794494,28.1,92411196,55.4
2001,240224083,100.0,21236673,8.8,64542273,26.9,140314694,58.4
2002,350476089,100.0,36058281,10.3,88307913,25.2,192655640,55.0
2003,454780659,100.0,45137960,9.9,113397388,24.9,246300262,54.2
2004,559033026,100.0,52997645,9.5,138411772,24.8,303474641,54.3
2005,648931712,100.0,60713747,9.4,160331023,24.7,350669700,54.0
2006,758390785,100.0,62662754,8.3,188646805,24.9,417108706,55.0
2007,843178421,100.0,64331717,7.6,209515201,24.8,480537624,57.0
2008,950534251,100.0,72274585,7.6,232475082,24.5,549835548,57.8
2009,952558579,100.0,78775886,8.3,218623211,23.0,567050589,59.5
2010,1098799348,100.0,92739021,8.4,259022057,23.6,628785937,57.2
2011,1298062004,100.0,103643924,8.0,315974048,24.3,731334563,56.3
Source: TurkStat National Accounts Chapter.
