Table 8.8 - Employed persons by employment status [15+ age] Part 2: 2004-2011 (Bin-Thousand)
Source: TurkStat Household Labour Force Survey Results
Note: (1) Revised by new population projections. Data from 2008 weighted by renewed projections.
Year,Sex,Total,Regular_Casual_Employee,Employer,Self_Employed,Unpaid_Family_Worker
2004,Total,19632,10693,999,4572,3367
2005,Total,20067,11436,1101,4689,2841
2006,Total,20423,12028,1162,4555,2678
2007,Total,20738,12534,1189,4386,2628
2008,Total,21194,12937,1249,4324,2684
2009,Total,21277,12770,1209,4429,2870
2010,Total,22594,13762,1202,4547,3083
2011,Total,24110,14876,1244,4687,3303
2004,Male,14585,8430,950,4081,1123
2005,Male,14959,8968,1051,4022,918
2006,Male,15165,9358,1093,3895,819
2007,Male,15382,9725,1114,3769,773
2008,Male,15598,9962,1172,3707,757
2009,Male,15407,9771,1132,3680,825
2010,Male,16170,10502,1120,3725,823
2011,Male,17137,11277,1157,3871,832
2004,Female,5047,2263,49,490,2244
2005,Female,5108,2468,50,667,1923
2006,Female,5258,2670,69,660,1859
2007,Female,5356,2809,75,617,1855
2008,Female,5595,2975,77,616,1927
2009,Female,5870,2999,77,749,2045
2010,Female,6424,3260,82,822,2260
2011,Female,6973,3599,87,816,2471
