Table_11.13,Other manufacturing industries (Diğer imalat sanayii)
Source,TurkStat Annual Manufacturing Industry Statistics
Unit,Million TL (Milyon TL) for financial columns; persons for employment
Note,"(1) 1969 = Estimate"

Year,Number_of_Establishments,Annual_Avg_Persons_Engaged,Annual_Payments_to_Employees_MilTL,Input_MilTL,Output_MilTL,Value_Added_MilTL
1950,42,467,1,1,4,2
1951,36,530,1,2,4,2
1952,38,453,1,2,5,3
1953,43,652,1,2,7,5
1954,57,695,2,4,10,7
1955,60,874,2,5,15,10
1956,65,1038,3,6,20,14
1957,67,1231,5,9,21,12
1958,87,1963,9,36,55,19
1959,106,2357,12,43,79,37
1960,106,1970,13,38,76,37
1961,115,2651,16,60,107,47
1962,78,2995,19,74,122,49
1963,73,2325,14,60,102,42
1964,95,4086,28,113,194,81
1965,99,4197,31,119,219,100
1966,95,4567,35,148,259,110
1967,109,5352,47,187,323,136
1968,118,5906,58,235,420,185
1969,122,6533,68,286,481,194
1970,202,8477,112,459,903,445
1971,234,10061,132,636,1077,441
1972,276,12439,201,1042,1731,689
1973,89,3767,66,214,377,162
1974,90,15315,79,245,460,215
1975,74,3789,117,327,656,329
1976,77,3766,165,431,823,392
1977,77,3634,181,558,1058,501
1978,78,3502,330,613,1144,531
1979,77,3378,457,1540,2661,1121
1980,81,3128,648,2315,4429,2114
1981,101,3921,1165,6258,9457,3198
1982,92,4099,1311,6982,11429,4448
1983,100,4745,2146,11710,20326,8616
1984,103,5184,3299,22190,34497,12307
1985,122,5649,4866,28969,56434,27465
1986,115,5267,6218,36959,63942,26983
1987,114,5366,9396,57940,93331,35390
1988,107,5551,16823,96542,153089,56547
1989,103,5417,31307,166007,298090,132083
1990,92,5201,57163,221715,452021,230306
1991,86,4802,96628,380707,720831,340124
1992,106,5181,170482,632107,1295989,663882
1993,106,5695,292766,1265894,2286316,1020422
1994,112,5614,440318,2545906,4943082,2397176
1995,101,5778,828668,5243422,9627738,4384316
1996,106,6780,1862821,10506703,20212326,9705623
1997,119,7851,4807950,31807600,58351480,26543880
1998,130,8276,8261963,57705884,90328047,32622163
1999,123,8121,13539032,134871243,192963988,58092745
2000,125,8650,20785980,272055314,423818733,151763419
2001,135,9347,31770157,525078460,886265163,361186703
