Table_20.1,GNP_by_economic_activity_at_current_prices,Unit:Million_TL
Year,GNP_TL,GNP_pct_change,Agriculture_TL,Agriculture_pct_change,Industry_TL,Industry_pct_change,Services_TL,Services_pct_change
1923,953,,377,,126,,450,
1924,1204,26.4,570,51.2,118,-6.0,515,14.6
1925,1526,26.7,730,28.0,145,22.8,651,26.2
1926,1651,8.2,815,11.7,163,12.1,673,3.4
1927,1471,-10.9,602,-26.1,186,14.3,683,1.5
1928,1633,11.0,719,19.4,184,-1.1,730,6.9
1929,2073,27.0,1069,48.8,199,8.3,805,10.2
1930,1581,-23.8,719,-32.8,176,-11.6,686,-14.8
1931,1392,-12.0,628,-12.7,171,-2.8,593,-13.5
1932,1171,-15.8,467,-25.6,161,-5.7,543,-8.5
1933,1141,-2.5,426,-8.8,182,12.5,534,-1.6
1934,1216,6.5,414,-2.7,214,18.0,588,10.1
1935,1310,7.7,462,11.5,233,8.6,616,4.7
1936,1695,29.4,730,58.1,259,11.1,706,14.8
1937,1807,6.6,737,1.0,293,13.4,776,9.9
1938,1896,4.9,760,3.0,311,6.2,825,6.3
1939,2063,8.8,804,5.9,371,19.0,888,7.7
1940,2403,16.5,926,15.1,446,20.4,1032,16.1
1941,2992,24.5,1107,19.6,579,29.7,1306,26.7
1942,6196,107.1,3170,186.3,825,42.5,2201,68.5
1943,9232,49.0,5216,64.5,986,19.5,3030,37.6
1944,6685,-27.6,2948,-43.5,1026,4.1,2710,-10.5
1945,5470,-18.2,2095,-28.9,878,-14.4,2497,-7.9
1946,6858,25.4,3127,49.2,1007,14.6,2724,9.1
1947,7543,10.0,2899,-7.3,1149,14.2,3494,28.3
1948,9493,25.9,4288,47.9,1329,15.7,3875,10.9
1949,9054,-4.6,3634,-15.3,1351,1.6,4070,5.0
1950,9694,7.1,4044,11.3,1419,5.0,4232,4.0
1951,11644,20.1,5216,29.0,1574,10.9,4855,14.7
1952,13389,15.0,5967,14.4,1785,13.4,5637,16.1
1953,15607,16.6,7023,17.7,2115,18.5,6470,14.8
1954,15915,2.0,6119,-12.9,2475,17.1,7320,13.1
1955,19117,20.1,7455,21.8,3055,23.4,8608,17.6
1956,22047,15.3,8654,16.1,3671,20.2,9722,12.9
1957,29310,32.9,12287,42.0,4642,26.4,12381,27.4
1958,35000,19.4,14583,18.7,5883,26.7,14534,17.4
1959,43670,24.8,16288,11.7,7897,34.2,19485,34.1
1960,46664,6.9,17668,8.5,8046,1.9,20951,7.5
1961,49536,6.2,17619,-0.3,8939,11.1,22978,9.7
1962,57593,16.3,20892,18.6,10378,16.1,26323,14.6
1963,66801,16.0,24095,15.3,11977,15.4,30730,16.7
1964,71313,6.8,24076,-0.1,13518,12.9,33719,9.7
1965,76726,7.6,23660,-1.7,15339,13.5,37728,11.9
1966,91419,19.1,28631,21.0,18294,19.3,44494,17.9
1967,101481,11.0,29975,4.7,21355,16.7,50150,12.7
1968,163893,61.5,65151,117.3,27330,28.0,71412,42.4
1969,183356,11.9,71206,9.3,31228,14.3,80922,13.3
1970,207815,13.3,76278,7.1,34457,10.3,97080,20.0
1971,261073,25.6,90009,18.0,44137,28.1,126927,30.7
1972,314140,20.3,98477,9.4,55047,24.7,160616,26.5
1973,399089,27.0,122601,24.5,69023,25.4,207465,29.2
1974,537678,34.7,177179,44.5,89172,29.2,271326,30.8
1975,690901,28.5,225929,27.5,115292,29.3,349679,28.9
1976,868066,25.6,265605,17.6,157243,36.4,445218,27.3
1977,1108271,27.7,327408,23.3,193296,22.9,587567,32.0
1978,1645969,48.5,497050,51.8,285208,47.5,863711,47.0
1979,2876523,74.8,767524,54.4,568887,99.5,1540112,78.3
1980,5303010,84.4,1350135,75.9,971066,70.7,2981810,93.6
1981,8022745,51.3,1884011,39.5,1675008,72.5,4463726,49.7
1982,10611859,32.3,2325980,23.5,2347936,40.2,5937943,33.0
1983,13933008,31.3,2881853,23.9,2974695,26.7,8076460,36.0
1984,22167740,59.1,4659020,61.7,4618820,55.3,12889900,59.6
1985,35350318,59.5,6958813,49.4,7743606,67.7,20647900,60.2
1986,51184759,44.8,9808612,41.0,12791204,65.2,28584944,38.4
1987,75019388,46.6,12874222,31.3,18696897,46.2,43448269,52.0
1988,129175104,72.2,21582647,67.6,33978240,81.7,73614216,69.4
1989,230369937,78.3,37209335,72.4,60966831,79.4,132193771,79.6
