Table,11.43 - Number of broadcasting institutions and employment (Yayin kurumu sayisi ve istihdam)
Indicator,Number of institutions / employment by type of broadcasting
Source,TurkStat
Broadcasting_Type_Code_Key,A = All types of broadcasting (Tum yayin turleri); B = National broadcasting (Ulusal yayin); C = Regional broadcasting (Bolgesel yayin); D = Local broadcasting (Yerel yayin)
Year,Economic_Activity,Broadcasting_Type,Number_of_Institutions,Annual_Avg_Employees,Annual_Avg_Persons_Engaged
1995,Total (Toplam),A,1448,19224,19974
1995,Total (Toplam),B,36,8748,8748
1995,Total (Toplam),C,73,1268,1273
1995,Total (Toplam),D,1339,9208,9953
1995,Radio (Radyo),A,1175,8950,9605
1995,Radio (Radyo),B,20,396,396
1995,Radio (Radyo),C,63,1170,1175
1995,Radio (Radyo),D,1092,7384,8034
1995,Radio-Television (Radyo-Televizyon),A,31,6771,6771
1995,Radio-Television (Radyo-Televizyon),B,8,6665,6665
1995,Radio-Television (Radyo-Televizyon),C,4,49,49
1995,Radio-Television (Radyo-Televizyon),D,19,57,57
1995,Television (Televizyon),A,242,3503,3598
1995,Television (Televizyon),B,8,1687,1687
1995,Television (Televizyon),C,6,49,49
1995,Television (Televizyon),D,228,1767,1862
1996,Total (Toplam),A,1189,17735,18853
1996,Total (Toplam),B,40,9028,9033
1996,Total (Toplam),C,87,1465,1476
1996,Total (Toplam),D,1062,7242,8344
1996,Radio (Radyo),A,811,5190,5951
1996,Radio (Radyo),B,24,516,516
1996,Radio (Radyo),C,77,1384,1395
1996,Radio (Radyo),D,710,3290,4040
1996,Radio-Television (Radyo-Televizyon),A,92,9060,9092
1996,Radio-Television (Radyo-Televizyon),B,8,6905,6905
1996,Radio-Television (Radyo-Televizyon),C,4,43,43
1996,Radio-Television (Radyo-Televizyon),D,80,2112,2144
1996,Television (Televizyon),A,286,3485,3810
1996,Television (Televizyon),B,8,1607,1612
1996,Television (Televizyon),C,6,38,38
1996,Television (Televizyon),D,272,1840,2160
1997,Total (Toplam),A,1453,21942,23050
1997,Total (Toplam),B,40,9757,9757
1997,Total (Toplam),C,100,1836,1838
1997,Total (Toplam),D,1313,10349,11455
1997,Radio (Radyo),A,1130,9053,10111
1997,Radio (Radyo),B,22,480,480
1997,Radio (Radyo),C,85,1434,1436
1997,Radio (Radyo),D,1023,7139,8195
1997,Radio-Television (Radyo-Televizyon),A,66,9478,9478
1997,Radio-Television (Radyo-Televizyon),B,10,7638,7638
1997,Radio-Television (Radyo-Televizyon),C,6,210,210
1997,Radio-Television (Radyo-Televizyon),D,50,1630,1630
1997,Television (Televizyon),A,257,3411,3461
1997,Television (Televizyon),B,8,1639,1639
1997,Television (Televizyon),C,9,192,192
1997,Television (Televizyon),D,240,1580,1630
1998,Total (Toplam),A,1852,25219,25912
1998,Total (Toplam),B,72,9738,9738
1998,Total (Toplam),C,210,2940,2940
1998,Total (Toplam),D,1570,12541,13234
1998,Radio (Radyo),A,1425,13151,13844
1998,Radio (Radyo),B,60,1220,1220
1998,Radio (Radyo),C,195,2225,2225
1998,Radio (Radyo),D,1170,9706,10399
1998,Radio-Television (Radyo-Televizyon),A,48,7553,7553
1998,Radio-Television (Radyo-Televizyon),B,6,7156,7156
1998,Radio-Television (Radyo-Televizyon),C,4,188,188
1998,Radio-Television (Radyo-Televizyon),D,38,209,209
1998,Television (Televizyon),A,379,4515,4515
1998,Television (Televizyon),B,6,1362,1362
1998,Television (Televizyon),C,11,527,527
1998,Television (Televizyon),D,362,2626,2626
1999,Total (Toplam),A,1545,21084,21766
1999,Total (Toplam),B,40,9778,9783
1999,Total (Toplam),C,74,1144,1158
1999,Total (Toplam),D,1431,10162,10825
1999,Radio (Radyo),A,1233,7886,8535
1999,Radio (Radyo),B,25,675,680
1999,Radio (Radyo),C,63,668,682
1999,Radio (Radyo),D,1145,6543,7173
1999,Radio-Television (Radyo-Televizyon),A,23,8213,8213
1999,Radio-Television (Radyo-Televizyon),B,9,7966,7966
1999,Radio-Television (Radyo-Televizyon),C,3,203,203
1999,Radio-Television (Radyo-Televizyon),D,11,44,44
1999,Television (Televizyon),A,289,4985,5018
1999,Television (Televizyon),B,6,1137,1137
1999,Television (Televizyon),C,8,273,273
1999,Television (Televizyon),D,275,3575,3608
