"LineNumber","LineDescription","TimePeriod","DataValue"
"1","Government social benefits","1929","791"
"1","Government social benefits","1930","869"
"1","Government social benefits","1931","1,921"
"1","Government social benefits","1932","1,274"
"1","Government social benefits","1933","1,274"
"1","Government social benefits","1934","1,347"
"1","Government social benefits","1935","1,584"
"1","Government social benefits","1936","2,687"
"1","Government social benefits","1937","1,600"
"1","Government social benefits","1938","2,142"
"1","Government social benefits","1939","2,237"
"1","Government social benefits","1940","2,394"
"1","Government social benefits","1941","2,306"
"1","Government social benefits","1942","2,322"
"1","Government social benefits","1943","2,102"
"1","Government social benefits","1944","2,674"
"1","Government social benefits","1945","5,142"
"1","Government social benefits","1946","10,120"
"1","Government social benefits","1947","10,428"
"1","Government social benefits","1948","9,881"
"1","Government social benefits","1949","10,857"
"1","Government social benefits","1950","13,417"
"1","Government social benefits","1951","10,538"
"1","Government social benefits","1952","10,994"
"1","Government social benefits","1953","11,674"
"1","Government social benefits","1954","13,747"
"1","Government social benefits","1955","14,754"
"1","Government social benefits","1956","15,592"
"1","Government social benefits","1957","18,132"
"1","Government social benefits","1958","22,226"
"1","Government social benefits","1959","22,917"
"1","Government social benefits","1960","24,674"
"1","Government social benefits","1961","28,365"
"1","Government social benefits","1962","29,142"
"1","Government social benefits","1963","30,665"
"1","Government social benefits","1964","31,663"
"1","Government social benefits","1965","34,366"
"1","Government social benefits","1966","37,968"
"1","Government social benefits","1967","46,307"
"1","Government social benefits","1968","53,863"
"1","Government social benefits","1969","59,558"
"1","Government social benefits","1970","72,458"
"1","Government social benefits","1971","86,223"
"1","Government social benefits","1972","95,773"
"1","Government social benefits","1973","109,786"
"1","Government social benefits","1974","129,878"
"1","Government social benefits","1975","165,121"
"1","Government social benefits","1976","180,133"
"1","Government social benefits","1977","192,061"
"1","Government social benefits","1978","206,169"
"1","Government social benefits","1979","230,383"
"1","Government social benefits","1980","275,041"
"1","Government social benefits","1981","312,097"
"1","Government social benefits","1982","347,182"
"1","Government social benefits","1983","374,124"
"1","Government social benefits","1984","384,582"
"1","Government social benefits","1985","407,140"
"1","Government social benefits","1986","433,005"
"1","Government social benefits","1987","452,193"
"1","Government social benefits","1988","481,444"
"1","Government social benefits","1989","526,202"
"1","Government social benefits","1990","580,838"
"1","Government social benefits","1991","656,779"
"1","Government social benefits","1992","737,975"
"1","Government social benefits","1993","785,134"
"1","Government social benefits","1994","822,534"
"1","Government social benefits","1995","871,520"
"1","Government social benefits","1996","913,899"
"1","Government social benefits","1997","943,268"
"1","Government social benefits","1998","966,123"
"1","Government social benefits","1999","1,000,934"
"1","Government social benefits","2000","1,053,772"
"1","Government social benefits","2001","1,155,628"
"1","Government social benefits","2002","1,260,931"
"1","Government social benefits","2003","1,331,353"
"1","Government social benefits","2004","1,415,501"
"1","Government social benefits","2005","1,502,498"
"1","Government social benefits","2006","1,605,434"
"1","Government social benefits","2007","1,710,625"
"1","Government social benefits","2008","1,934,796"
"1","Government social benefits","2009","2,123,723"
"1","Government social benefits","2010","2,297,900"
"1","Government social benefits","2011","2,327,187"
"1","Government social benefits","2012","2,340,537"
"1","Government social benefits","2013","2,404,773"
"1","Government social benefits","2014","2,518,136"
"1","Government social benefits","2015","2,655,548"
"1","Government social benefits","2016","2,738,215"
"1","Government social benefits","2017","2,829,233"
"1","Government social benefits","2018","2,948,745"
"1","Government social benefits","2019","3,114,747"
"1","Government social benefits","2020","4,221,493"
"1","Government social benefits","2021","4,599,144"
"1","Government social benefits","2022","4,041,797"
"1","Government social benefits","2023","4,182,525"
"1","Government social benefits","2024","4,490,018"
"2","To persons","1929","791"
"2","To persons","1930","869"
"2","To persons","1931","1,921"
"2","To persons","1932","1,274"
"2","To persons","1933","1,274"
"2","To persons","1934","1,347"
"2","To persons","1935","1,584"
"2","To persons","1936","2,687"
"2","To persons","1937","1,600"
"2","To persons","1938","2,142"
"2","To persons","1939","2,237"
"2","To persons","1940","2,394"
"2","To persons","1941","2,306"
"2","To persons","1942","2,322"
"2","To persons","1943","2,102"
"2","To persons","1944","2,674"
"2","To persons","1945","5,142"
"2","To persons","1946","10,120"
"2","To persons","1947","10,428"
"2","To persons","1948","9,881"
"2","To persons","1949","10,857"
"2","To persons","1950","13,417"
"2","To persons","1951","10,538"
"2","To persons","1952","10,994"
"2","To persons","1953","11,674"
"2","To persons","1954","13,747"
"2","To persons","1955","14,754"
"2","To persons","1956","15,592"
"2","To persons","1957","18,132"
"2","To persons","1958","22,226"
"2","To persons","1959","22,917"
"2","To persons","1960","24,428"
"2","To persons","1961","28,089"
"2","To persons","1962","28,843"
"2","To persons","1963","30,341"
"2","To persons","1964","31,317"
"2","To persons","1965","33,913"
"2","To persons","1966","37,504"
"2","To persons","1967","45,752"
"2","To persons","1968","53,306"
"2","To persons","1969","58,973"
"2","To persons","1970","71,737"
"2","To persons","1971","85,412"
"2","To persons","1972","94,808"
"2","To persons","1973","108,628"
"2","To persons","1974","128,556"
"2","To persons","1975","163,134"
"2","To persons","1976","177,643"
"2","To persons","1977","189,482"
"2","To persons","1978","203,427"
"2","To persons","1979","227,334"
"2","To persons","1980","271,498"
"2","To persons","1981","307,809"
"2","To persons","1982","343,079"
"2","To persons","1983","370,499"
"2","To persons","1984","380,909"
"2","To persons","1985","403,112"
"2","To persons","1986","428,607"
"2","To persons","1987","447,913"
"2","To persons","1988","476,864"
"2","To persons","1989","521,070"
"2","To persons","1990","574,674"
"2","To persons","1991","650,507"
"2","To persons","1992","731,750"
"2","To persons","1993","778,935"
"2","To persons","1994","815,708"
"2","To persons","1995","864,727"
"2","To persons","1996","906,325"
"2","To persons","1997","935,418"
"2","To persons","1998","957,915"
"2","To persons","1999","992,202"
"2","To persons","2000","1,044,876"
"2","To persons","2001","1,145,830"
"2","To persons","2002","1,251,022"
"2","To persons","2003","1,320,994"
"2","To persons","2004","1,404,471"
"2","To persons","2005","1,490,917"
"2","To persons","2006","1,593,029"
"2","To persons","2007","1,697,335"
"2","To persons","2008","1,919,349"
"2","To persons","2009","2,107,728"
"2","To persons","2010","2,281,411"
"2","To persons","2011","2,310,139"
"2","To persons","2012","2,322,586"
"2","To persons","2013","2,385,910"
"2","To persons","2014","2,498,625"
"2","To persons","2015","2,635,146"
"2","To persons","2016","2,717,282"
"2","To persons","2017","2,807,432"
"2","To persons","2018","2,925,973"
"2","To persons","2019","3,090,760"
"2","To persons","2020","4,187,512"
"2","To persons","2021","4,566,711"
"2","To persons","2022","4,012,998"
"2","To persons","2023","4,150,561"
"2","To persons","2024","4,455,695"
"3","Federal","1929","645"
"3","Federal","1930","683"
"3","Federal","1931","1,658"
"3","Federal","1932","867"
"3","Federal","1933","625"
"3","Federal","1934","513"
"3","Federal","1935","539"
"3","Federal","1936","1,962"
"3","Federal","1937","721"
"3","Federal","1938","1,084"
"3","Federal","1939","1,122"
"3","Federal","1940","1,295"
"3","Federal","1941","1,239"
"3","Federal","1942","1,287"
"3","Federal","1943","1,092"
"3","Federal","1944","1,651"
"3","Federal","1945","4,054"
"3","Federal","1946","8,652"
"3","Federal","1947","8,383"
"3","Federal","1948","7,186"
"3","Federal","1949","8,200"
"3","Federal","1950","10,227"
"3","Federal","1951","7,894"
"3","Federal","1952","8,081"
"3","Federal","1953","8,702"
"3","Federal","1954","10,680"
"3","Federal","1955","11,502"
"3","Federal","1956","12,300"
"3","Federal","1957","14,531"
"3","Federal","1958","18,191"
"3","Federal","1959","18,578"
"3","Federal","1960","19,867"
"3","Federal","1961","23,107"
"3","Federal","1962","23,503"
"3","Federal","1963","24,644"
"3","Federal","1964","25,163"
"3","Federal","1965","27,262"
"3","Federal","1966","29,883"
"3","Federal","1967","36,520"
"3","Federal","1968","41,860"
"3","Federal","1969","45,756"
