"LineNumber","LineDescription","TimePeriod","DataValue"
"1","Current receipts","1929","7,062"
"1","Current receipts","1930","7,260"
"1","Current receipts","1931","7,137"
"1","Current receipts","1932","6,758"
"1","Current receipts","1933","6,672"
"1","Current receipts","1934","8,088"
"1","Current receipts","1935","8,656"
"1","Current receipts","1936","8,187"
"1","Current receipts","1937","8,568"
"1","Current receipts","1938","8,669"
"1","Current receipts","1939","9,047"
"1","Current receipts","1940","9,369"
"1","Current receipts","1941","9,769"
"1","Current receipts","1942","10,018"
"1","Current receipts","1943","10,348"
"1","Current receipts","1944","10,612"
"1","Current receipts","1945","11,049"
"1","Current receipts","1946","12,487"
"1","Current receipts","1947","14,176"
"1","Current receipts","1948","16,346"
"1","Current receipts","1949","18,176"
"1","Current receipts","1950","19,815"
"1","Current receipts","1951","21,825"
"1","Current receipts","1952","23,535"
"1","Current receipts","1953","25,329"
"1","Current receipts","1954","26,740"
"1","Current receipts","1955","29,178"
"1","Current receipts","1956","32,159"
"1","Current receipts","1957","34,784"
"1","Current receipts","1958","36,863"
"1","Current receipts","1959","40,430"
"1","Current receipts","1960","44,191"
"1","Current receipts","1961","47,733"
"1","Current receipts","1962","51,617"
"1","Current receipts","1963","55,536"
"1","Current receipts","1964","60,748"
"1","Current receipts","1965","65,895"
"1","Current receipts","1966","74,193"
"1","Current receipts","1967","81,716"
"1","Current receipts","1968","92,612"
"1","Current receipts","1969","104,510"
"1","Current receipts","1970","119,062"
"1","Current receipts","1971","133,746"
"1","Current receipts","1972","157,113"
"1","Current receipts","1973","173,032"
"1","Current receipts","1974","186,646"
"1","Current receipts","1975","208,020"
"1","Current receipts","1976","232,174"
"1","Current receipts","1977","258,287"
"1","Current receipts","1978","285,782"
"1","Current receipts","1979","306,300"
"1","Current receipts","1980","335,890"
"1","Current receipts","1981","367,475"
"1","Current receipts","1982","388,518"
"1","Current receipts","1983","425,277"
"1","Current receipts","1984","476,128"
"1","Current receipts","1985","517,478"
"1","Current receipts","1986","557,373"
"1","Current receipts","1987","585,532"
"1","Current receipts","1988","630,371"
"1","Current receipts","1989","681,364"
"1","Current receipts","1990","730,049"
"1","Current receipts","1991","779,842"
"1","Current receipts","1992","835,967"
"1","Current receipts","1993","877,813"
"1","Current receipts","1994","934,828"
"1","Current receipts","1995","980,559"
"1","Current receipts","1996","1,033,260"
"1","Current receipts","1997","1,086,228"
"1","Current receipts","1998","1,148,993"
"1","Current receipts","1999","1,222,124"
"1","Current receipts","2000","1,303,484"
"1","Current receipts","2001","1,353,310"
"1","Current receipts","2002","1,386,159"
"1","Current receipts","2003","1,470,215"
"1","Current receipts","2004","1,578,384"
"1","Current receipts","2005","1,716,627"
"1","Current receipts","2006","1,814,401"
"1","Current receipts","2007","1,900,361"
"1","Current receipts","2008","1,914,093"
"1","Current receipts","2009","1,914,577"
"1","Current receipts","2010","1,991,650"
"1","Current receipts","2011","2,027,170"
"1","Current receipts","2012","2,053,259"
"1","Current receipts","2013","2,143,379"
"1","Current receipts","2014","2,254,735"
"1","Current receipts","2015","2,370,213"
"1","Current receipts","2016","2,425,260"
"1","Current receipts","2017","2,513,527"
"1","Current receipts","2018","2,643,165"
"1","Current receipts","2019","2,788,464"
"1","Current receipts","2020","3,083,058"
"1","Current receipts","2021","3,577,405"
"1","Current receipts","2022","3,689,333"
"1","Current receipts","2023","3,645,341"
"1","Current receipts","2024","3,790,853"
"1","Current receipts","2025","3,947,369"
"2","Current tax receipts","1929","6,382"
"2","Current tax receipts","1930","6,606"
