"LineNumber","LineDescription","TimePeriod","DataValue"
"1","Gross domestic product","1929","104,556"
"1","Gross domestic product","1930","92,160"
"1","Gross domestic product","1931","77,391"
"1","Gross domestic product","1932","59,522"
"1","Gross domestic product","1933","57,154"
"1","Gross domestic product","1934","66,800"
"1","Gross domestic product","1935","74,241"
"1","Gross domestic product","1936","84,830"
"1","Gross domestic product","1937","93,003"
"1","Gross domestic product","1938","87,352"
"1","Gross domestic product","1939","93,437"
"1","Gross domestic product","1940","102,899"
"1","Gross domestic product","1941","129,309"
"1","Gross domestic product","1942","165,952"
"1","Gross domestic product","1943","203,084"
"1","Gross domestic product","1944","224,447"
"1","Gross domestic product","1945","228,007"
"1","Gross domestic product","1946","227,535"
"1","Gross domestic product","1947","249,616"
"1","Gross domestic product","1948","274,468"
"1","Gross domestic product","1949","272,475"
"1","Gross domestic product","1950","299,827"
"1","Gross domestic product","1951","346,914"
"1","Gross domestic product","1952","367,341"
"1","Gross domestic product","1953","389,218"
"1","Gross domestic product","1954","390,549"
"1","Gross domestic product","1955","425,478"
"1","Gross domestic product","1956","449,353"
"1","Gross domestic product","1957","474,039"
"1","Gross domestic product","1958","481,229"
"1","Gross domestic product","1959","521,654"
"1","Gross domestic product","1960","542,382"
"1","Gross domestic product","1961","562,209"
"1","Gross domestic product","1962","603,922"
"1","Gross domestic product","1963","637,450"
"1","Gross domestic product","1964","684,460"
"1","Gross domestic product","1965","742,289"
"1","Gross domestic product","1966","813,414"
"1","Gross domestic product","1967","859,959"
"1","Gross domestic product","1968","940,651"
"1","Gross domestic product","1969","1,017,615"
"1","Gross domestic product","1970","1,073,303"
"1","Gross domestic product","1971","1,164,850"
"1","Gross domestic product","1972","1,279,110"
"1","Gross domestic product","1973","1,425,376"
"1","Gross domestic product","1974","1,545,243"
"1","Gross domestic product","1975","1,684,904"
"1","Gross domestic product","1976","1,873,412"
"1","Gross domestic product","1977","2,081,826"
"1","Gross domestic product","1978","2,351,599"
"1","Gross domestic product","1979","2,627,333"
"1","Gross domestic product","1980","2,857,307"
"1","Gross domestic product","1981","3,207,041"
"1","Gross domestic product","1982","3,343,789"
"1","Gross domestic product","1983","3,634,038"
"1","Gross domestic product","1984","4,037,613"
"1","Gross domestic product","1985","4,338,979"
"1","Gross domestic product","1986","4,579,631"
"1","Gross domestic product","1987","4,855,215"
"1","Gross domestic product","1988","5,236,438"
"1","Gross domestic product","1989","5,641,580"
"1","Gross domestic product","1990","5,963,144"
"1","Gross domestic product","1991","6,158,129"
"1","Gross domestic product","1992","6,520,327"
"1","Gross domestic product","1993","6,858,559"
"1","Gross domestic product","1994","7,287,236"
"1","Gross domestic product","1995","7,639,749"
"1","Gross domestic product","1996","8,073,122"
"1","Gross domestic product","1997","8,577,552"
"1","Gross domestic product","1998","9,062,817"
"1","Gross domestic product","1999","9,631,172"
"1","Gross domestic product","2000","10,250,952"
"1","Gross domestic product","2001","10,581,929"
"1","Gross domestic product","2002","10,929,108"
"1","Gross domestic product","2003","11,456,450"
"1","Gross domestic product","2004","12,217,196"
"1","Gross domestic product","2005","13,039,197"
"1","Gross domestic product","2006","13,815,583"
"1","Gross domestic product","2007","14,474,228"
"1","Gross domestic product","2008","14,769,862"
"1","Gross domestic product","2009","14,478,067"
"1","Gross domestic product","2010","15,048,971"
"1","Gross domestic product","2011","15,599,732"
"1","Gross domestic product","2012","16,253,970"
"1","Gross domestic product","2013","16,880,683"
"1","Gross domestic product","2014","17,608,138"
"1","Gross domestic product","2015","18,295,019"
"1","Gross domestic product","2016","18,804,913"
"1","Gross domestic product","2017","19,612,102"
"1","Gross domestic product","2018","20,656,516"
"1","Gross domestic product","2019","21,539,982"
"1","Gross domestic product","2020","21,375,281"
"1","Gross domestic product","2021","23,725,645"
"1","Gross domestic product","2022","26,054,614"
"1","Gross domestic product","2023","27,811,517"
"1","Gross domestic product","2024","29,298,013"
"1","Gross domestic product","2025","30,762,099"
"2","Personal consumption expenditures","1929","77,382"
"2","Personal consumption expenditures","1930","70,136"
"2","Personal consumption expenditures","1931","60,672"
"2","Personal consumption expenditures","1932","48,714"
"2","Personal consumption expenditures","1933","45,945"
"2","Personal consumption expenditures","1934","51,461"
"2","Personal consumption expenditures","1935","55,932"
"2","Personal consumption expenditures","1936","62,188"
"2","Personal consumption expenditures","1937","66,839"
"2","Personal consumption expenditures","1938","64,272"
"2","Personal consumption expenditures","1939","67,209"
"2","Personal consumption expenditures","1940","71,288"
"2","Personal consumption expenditures","1941","81,072"
"2","Personal consumption expenditures","1942","89,002"
"2","Personal consumption expenditures","1943","99,903"
"2","Personal consumption expenditures","1944","108,648"
"2","Personal consumption expenditures","1945","119,977"
"2","Personal consumption expenditures","1946","144,198"
"2","Personal consumption expenditures","1947","161,852"
"2","Personal consumption expenditures","1948","174,878"
"2","Personal consumption expenditures","1949","178,333"
"2","Personal consumption expenditures","1950","192,044"
"2","Personal consumption expenditures","1951","208,339"
"2","Personal consumption expenditures","1952","219,320"
"2","Personal consumption expenditures","1953","232,740"
"2","Personal consumption expenditures","1954","239,608"
"2","Personal consumption expenditures","1955","258,288"
"2","Personal consumption expenditures","1956","271,128"
"2","Personal consumption expenditures","1957","286,296"
"2","Personal consumption expenditures","1958","295,606"
"2","Personal consumption expenditures","1959","317,130"
"2","Personal consumption expenditures","1960","331,180"
"2","Personal consumption expenditures","1961","341,475"
"2","Personal consumption expenditures","1962","362,557"
"2","Personal consumption expenditures","1963","382,035"
"2","Personal consumption expenditures","1964","410,632"
"2","Personal consumption expenditures","1965","442,973"
"2","Personal consumption expenditures","1966","479,919"
"2","Personal consumption expenditures","1967","506,685"
"2","Personal consumption expenditures","1968","556,852"
"2","Personal consumption expenditures","1969","603,639"
"2","Personal consumption expenditures","1970","646,724"
"2","Personal consumption expenditures","1971","699,937"
"2","Personal consumption expenditures","1972","768,153"
"2","Personal consumption expenditures","1973","849,575"
"2","Personal consumption expenditures","1974","930,161"
"2","Personal consumption expenditures","1975","1,030,547"
"2","Personal consumption expenditures","1976","1,147,666"
"2","Personal consumption expenditures","1977","1,273,975"
"2","Personal consumption expenditures","1978","1,422,252"
"2","Personal consumption expenditures","1979","1,585,420"
"2","Personal consumption expenditures","1980","1,750,667"
"2","Personal consumption expenditures","1981","1,933,951"
"2","Personal consumption expenditures","1982","2,071,256"
"2","Personal consumption expenditures","1983","2,281,605"
"2","Personal consumption expenditures","1984","2,492,340"
"2","Personal consumption expenditures","1985","2,712,830"
"2","Personal consumption expenditures","1986","2,886,278"
"2","Personal consumption expenditures","1987","3,076,279"
"2","Personal consumption expenditures","1988","3,330,012"
"2","Personal consumption expenditures","1989","3,576,758"
"2","Personal consumption expenditures","1990","3,808,994"
"2","Personal consumption expenditures","1991","3,943,449"
"2","Personal consumption expenditures","1992","4,197,559"
"2","Personal consumption expenditures","1993","4,451,984"
"2","Personal consumption expenditures","1994","4,720,965"
"2","Personal consumption expenditures","1995","4,962,590"
"2","Personal consumption expenditures","1996","5,244,596"
"2","Personal consumption expenditures","1997","5,536,790"
"2","Personal consumption expenditures","1998","5,877,248"
"2","Personal consumption expenditures","1999","6,283,758"
"2","Personal consumption expenditures","2000","6,767,179"
"2","Personal consumption expenditures","2001","7,073,801"
"2","Personal consumption expenditures","2002","7,348,941"
"2","Personal consumption expenditures","2003","7,740,749"
"2","Personal consumption expenditures","2004","8,231,960"
"2","Personal consumption expenditures","2005","8,769,066"
"2","Personal consumption expenditures","2006","9,277,236"
"2","Personal consumption expenditures","2007","9,746,594"
"2","Personal consumption expenditures","2008","10,050,083"
"2","Personal consumption expenditures","2009","9,891,218"
"2","Personal consumption expenditures","2010","10,260,256"
"2","Personal consumption expenditures","2011","10,698,857"
"2","Personal consumption expenditures","2012","11,047,363"
