,"NSW/NI Share — S607-A(book) / NI(NIPA); share; period=[1952, 1989]; series_status=book_period_validated","NSW/NI Share — Table6_3_NetSocialWage.csv:nsw_ni_share; share; period=[1952, 1989]; series_status=book_period_validated"
Year,S609-A,S609-RECON-A
1952,-0.048657,-0.0337
1953,-0.042179,-0.0309
1954,-0.027657,-0.0226
1955,-0.034794,-0.0303
1956,-0.035145,-0.0389
1957,-0.028048,-0.0356
1958,-0.013678,-0.0186
1959,-0.020916,-0.0336
1960,-0.028107,-0.0451
1961,-0.01386,-0.0363
1962,-0.020966,-0.0416
1963,-0.028076,-0.0458
1964,-0.015351,-0.039
1965,-0.01403,-0.0378
1966,-0.021432,-0.0429
1967,-0.014284,-0.033
1968,-0.021549,-0.0361
1969,-0.03611,-0.0467
1970,-0.014307,-0.0274
1971,0.007056,-0.0124
1972,-0.007098,-0.0219
1973,-0.007114,-0.0264
1974,-0.007116,-0.0189
1975,0.027804,0.0144
1976,0.014167,0.0033
1977,0.007039,-0.0055
1978,-0.00715,-0.0146
1979,-0.014321,-0.0191
1980,-0.00701,-0.0079
1981,-0.006932,-0.0161
1982,-0.006721,-0.0023
1983,0.0,0.003
1984,-0.013539,-0.0087
1985,-0.020093,-0.0121
1986,-0.013498,-0.0111
1987,-0.020427,-0.0194
1988,-0.020334,-0.022
1989,-0.026701,-0.0219
