,"Total Unproductive Labor â€” Mohun (Mohun 2013) — Mohun 2013 RRPE; thousands; period=[1964, 2010]; series_status=book_period_validated"
Year,XS1503-A
1948,14095.829305857613
1949,15502.088447750297
1950,16305.569310488629
1951,17611.44769566179
1952,17989.35730750821
1953,18421.60052697869
1954,18819.230666473497
1955,19033.202943441545
1956,20051.92452783232
1957,21667.80687710578
1958,23173.89181271328
1959,24381.474102917746
1960,26270.516199655245
1961,27052.16767728547
1962,27442.581081948112
1963,28360.802674887687
1964,28046.23574965509
1965,28235.21011526187
1966,29258.7961767835
1967,31250.10711384425
1968,32950.25498113666
1969,34959.70688510925
1970,36315.29718258603
1971,36870.306863485246
1972,38651.42045103699
1973,37679.40529413654
1974,37743.75680178418
1975,37770.134471329424
1976,38923.16578447572
1977,39982.52567199793
1978,41592.08022486464
1979,46011.18367379901
1980,46851.56663395891
1981,47912.95791848686
1982,47677.00935030744
1983,48406.70113890422
1984,47919.71414001242
1985,48036.11219801993
1986,49190.7330643012
1987,50458.09737244133
1988,53955.69737710173
1989,55981.31476204339
