,"Social Burden Rate — ; ratio; period=[1948, 2024]; series_status=book_period_validated"
Year,XS001-A
1948,0.7906295851674003
1949,0.8045075349838535
1950,0.781804429384001
1951,0.781152722443559
1952,0.7960773225026991
1953,0.8029825933893996
1954,0.8104707012487993
1955,0.7804944213520018
1956,0.7904966873443896
1957,0.8036363636363636
1958,0.8287839156744095
1959,0.8006105883198046
1960,0.8091182014941004
1961,0.8113407971943076
1962,0.7999906308557152
1963,0.7912173166326137
1964,0.7868327206890876
1965,0.7739518987341772
1966,0.7767978636944154
1967,0.7934286971830986
1968,0.7938800316026173
1969,0.8121222534028215
1970,0.8425256084868625
1971,0.8313273001508296
1972,0.8185516579460664
1973,0.8146717610281348
1974,0.838477353035657
1975,0.8398433715485225
1976,0.8200511963006545
1977,0.8100108020274575
1978,0.8046229945867149
1979,0.8148799619681484
1980,0.8474560743829904
1981,0.8525983251308304
1982,0.86794303870863
1983,0.8510542394683246
1984,0.8395322060348848
1985,0.8436794942178618
1986,0.8652435748466334
1987,0.855342555532149
1988,0.8487934147289498
1989,0.8577410093940578
