year,L_total,Lp_productive,Lu_unproductive,Lp_L_ratio,Lu_L_ratio
1948,32496,17331.952479111165,15164.047520888837,0.5333564893867296,0.4666435106132704
1949,35598,18923.598543363845,16674.401456636155,0.531591621533902,0.4684083784660979
1950,37400,19851.886252535016,17548.113747464984,0.530799097661364,0.4692009023386359
1951,40473,21496.782775138065,18976.21722486193,0.5311388524482511,0.4688611475517489
1952,41533,22084.52155199523,19448.47844800477,0.5317343209494915,0.4682656790505085
1953,42615,22734.470063076405,19880.529936923595,0.5334851592884291,0.4665148407115709
1954,43396,23093.601736722467,20302.398263277533,0.5321596860706624,0.4678403139293375
1955,43898,23421.28620164882,20476.71379835118,0.5335387990716849,0.4664612009283151
1956,45539,24032.93323364133,21506.06676635867,0.5277439828200297,0.4722560171799703
1957,49024,25684.620901064314,23339.37909893569,0.5239193232103524,0.4760806767896476
1958,52339,27486.32032007809,24852.67967992191,0.5251594474498575,0.4748405525501425
1959,55860,29627.106105932835,26232.893894067165,0.5303814197266887,0.4696185802733112
1960,58681,30542.156341470203,28138.8436585298,0.5204777754549207,0.4795222245450792
1961,61234,32158.343813986183,29075.656186013814,0.5251713723419372,0.4748286276580627
1962,61934,32403.43221394621,29530.567786053794,0.5231929507854524,0.4768070492145476
1963,62672,32285.47787764751,30386.52212235249,0.515149953370684,0.4848500466293159
1964,62736,32609.13570815064,30126.86429184936,0.5197834689516488,0.4802165310483512
1965,63011,32649.143268987737,30361.856731012263,0.5181498987317729,0.4818501012682272
1966,65318,33912.17932796275,31405.820672037247,0.519185819038592,0.480814180961408
1967,68472,35074.67822559465,33397.32177440535,0.5122484844256726,0.4877515155743274
1968,72265,37122.71353003979,35142.28646996021,0.5137025327619151,0.4862974672380849
1969,76532,38967.59928686346,37564.40071313654,0.5091673977795361,0.4908326022204639
1970,78966,40011.566197919135,38954.43380208087,0.506693592152561,0.4933064078474389
1971,81989,42631.7661380705,39357.2338619295,0.5199693390341449,0.4800306609658551
1972,83454,42101.75651399186,41352.24348600814,0.5044905758141235,0.4955094241858765
1973,81918,41595.7619457438,40322.2380542562,0.5077731627449864,0.4922268372550136
1974,81867,41612.34412149416,40254.65587850584,0.5082920361255959,0.4917079638744041
1975,81901,41501.4371205766,40399.5628794234,0.5067268668340631,0.4932731331659369
1976,83840,42185.946848242296,41654.0531517577,0.5031720759570885,0.4968279240429115
1977,86903,44192.51591614162,42710.48408385838,0.5085269313618819,0.491473068638118
1978,91277,46722.94996739165,44554.05003260835,0.5118808677694452,0.4881191322305548
1979,96442,47367.30186259782,49074.69813740218,0.4911480668442983,0.5088519331557017
1980,100896,50889.81124754975,50006.18875245025,0.5043788777310275,0.4956211222689725
1981,102251,51317.33537797358,50933.66462202642,0.5018761222674945,0.4981238777325055
1982,102620,51896.75521856349,50723.24478143651,0.5057177472087653,0.4942822527912347
1983,102084,50542.23189680045,51541.76810319955,0.4951043444300815,0.5048956555699184
1984,101052,50175.85447152556,50876.14552847445,0.4965349965515334,0.5034650034484666
1985,101239,50113.2344592704,51125.7655407296,0.4949993032257371,0.5050006967742628
1986,103605,51222.00464929022,52382.99535070978,0.494397033437481,0.505602966562519
1987,106911,53122.086540068325,53788.91345993168,0.4968813923737344,0.5031186076262656
1988,112428,55069.044579474445,57358.95542052556,0.489816100788722,0.5101838992112779
1989,117819,58123.00513397577,59695.99486602423,0.4933245498092478,0.5066754501907522
