figure_id,document_id,file,chars,preview
F00001,1984_Tonak_State_Revenues,chunk_03_figures.md,3250,"# [1984] Tonak - State Revenues - Chunk 03 - Figures  **Extraction Date:** October 23, 2025 **Chunk Coverage:** Pages 8-17 (Chapter II: Plan Problem a"
F00002,1984_Tonak_State_Revenues,chunk_04_figures.md,1675,"# [1984] Tonak - State Revenues - Chunk 04 - Figures  **Extraction Date:** October 23, 2025 **Chunk Coverage:** Pages 18-27 (Chapter II continuation: "
F00003,1984_Tonak_State_Revenues,chunk_05_figures.md,2036,"# [1984] Tonak - State Revenues - Chunk 05 - Figures  **Extraction Date:** October 23, 2025 **Chunk Coverage:** Pages 28-37 (Chapter II footnotes + Ch"
F00004,1984_Tonak_State_Revenues,chunk_06_figures.md,5955,"# [1984] Tonak - State Revenues - Chunk 06 - Figures  **Extraction Date:** October 23, 2025 **Chunk Coverage:** Pages 38-47 (Chapter III continuation:"
F00005,1984_Tonak_State_Revenues,chunk_07_figures.md,1974,"# [1984] Tonak - State Revenues - Chunk 07 - Figures  **Extraction Date:** October 23, 2025 **Chunk Coverage:** Pages 48-57 (Chapter III continuation:"
F00006,1984_Tonak_State_Revenues,figure_references.md,1822,"# Figures Referenced in Chunk_09 (Pages 68-77)  **Source**: Tonak, E. A. (1984). Chapter IV: ""State in Distribution Process"" **Extraction Date**: Octo"
F00007,1984_Tonak_State_Revenues,figure_1_description.md,5870,"# Figure I: Net-Tax Derivation Flowchart  **Source**: Tonak, E. A. (1984). Chapter IV: ""State in Distribution Process"" **Extraction Date**: October 23"
F00008,1984_Tonak_State_Revenues,figure_notes.md,635,"# Figures - Chunk_11 (Pages 88-97)  **Source**: Tonak, E. A. (1984). Chapter IV: ""State in Distribution Process"" **Extraction Date**: October 23, 2025"
F00009,1984_Tonak_State_Revenues,figure_notes.md,489,"# Figures - Chunk_12 (Pages 98-107)  **Source**: Tonak, E. A. (1984). Chapter IV: ""State in Distribution Process"" **Extraction Date**: October 23, 202"
F00010,1984_Tonak_State_Revenues,figure_2_description.md,7732,"# Figure 2: Transfer Ratios - Chunk_13  **Source**: Tonak, E. A. (1984). Chapter IV: ""State in Distribution Process"" **Extraction Date**: October 23, "
F00011,1985_Semmler_Nonlinear_Cycles,figures.md,9073,"# Figures - Chunk 03 ## Semmler (1985) - Competition, Instability, and Nonlinear Cycles  ---  ## Figure 1: Stable Limit Cycle in (u, g) Phase Space  *"
F00012,1985_Semmler_Nonlinear_Cycles,figures.md,8400,# Figures - Chunk 05  ## Figure 2.5: Total Labor Productivity (Page 320)  **Type:** Line graph **Title:** Total labor productivity **Time Period:** 19
F00013,1994_Measuring_Wealth,figure_1.1_description.md,3813,"# Figure 1.1: Alternate Measures of GFP (Gross Final Product)  **Location**: Page 36 (book page 16) **Type**: Bar chart **Source**: Eisner (1988, p. 1"
F00014,1994_Measuring_Wealth,figure_2.1_description.md,1027,# Figure 2.1: Production and Nonproduction Labor  **Location**: Page 42 (book page 22) **Type**: Hierarchical diagram  ## Description  Simple tree dia
F00015,1994_Measuring_Wealth,figure_2.2_description.md,927,# Figure 2.2: Nonproduction Labor and Social Consumption  **Location**: Page 48 (book page 28) **Type**: Hierarchical diagram  ## Description  Shows r
F00016,1994_Measuring_Wealth,figure_2.3_description.md,1296,# Figure 2.3: Productive and Unproductive Labor Under Capital  **Location**: Page 50 (book page 30) **Type**: Three pie charts  ## Description  Three 
F00017,1994_Measuring_Wealth,figure_3.1_description.md,1389,# Figure 3.1: Division of Value - Production Alone  **Location**: Page 63 (book page 43) **Type**: Vertical bar chart  ## Description  Single vertical
F00018,1994_Measuring_Wealth,figure_3.2_description.md,1790,# Figure 3.2: Use of Product - Production Alone  **Location**: Page 64 (book page 44) **Type**: Horizontal bar chart  ## Description  Single horizonta
F00019,1994_Measuring_Wealth,figure_3.3_description.md,2035,# Figure 3.3: IO Accounts and Marxian Categories - Production Alone  **Location**: Page 64 (book page 44) **Type**: Input-Output table (rudimentary 1-
