equation_id,document_id,file,chars,latex_expressions,preview
E00001,1984_Tonak_State_Revenues,chunk_03_equations.md,2419,0,"# [1984] Tonak - State Revenues - Chunk 03 - Equations  **Extraction Date:** October 23, 2025 **Chunk Coverage:** Pages 8-17 (Chapter II: Plan Problem"
E00002,1984_Tonak_State_Revenues,chunk_04_equations.md,5282,0,"# [1984] Tonak - State Revenues - Chunk 04 - Equations  **Extraction Date:** October 23, 2025 **Chunk Coverage:** Pages 18-27 (Chapter II continuation"
E00003,1984_Tonak_State_Revenues,chunk_05_equations.md,7051,131,"# [1984] Tonak - State Revenues - Chunk 05 - Equations  **Extraction Date:** October 23, 2025 **Chunk Coverage:** Pages 28-37 (Chapter III: Productive"
E00004,1984_Tonak_State_Revenues,chunk_06_equations.md,8738,251,"# [1984] Tonak - State Revenues - Chunk 06 - Equations  **Extraction Date:** October 23, 2025 **Chunk Coverage:** Pages 38-47 (Chapter III continuatio"
E00005,1984_Tonak_State_Revenues,chunk_07_equations.md,9550,211,"# [1984] Tonak - State Revenues - Chunk 07 - Equations  **Extraction Date:** October 23, 2025 **Chunk Coverage:** Pages 48-57 (Chapter III: Debated Is"
E00006,1984_Tonak_State_Revenues,circuit_of_capital_equations.md,8120,4,"# Circuit of Capital Equations - State Distributive Activities  **Source**: 1984 Tonak Dissertation, Chunk_08, Pages 60-62 **Section**: B. State Distr"
E00007,1984_Tonak_State_Revenues,net_tax_equations.md,9661,13,"# Equations - 1984 Tonak Chapter IV: Net-Tax Concept  **Source**: Tonak, E. A. (1984). ""A Conceptualization of State Revenues and Expenditures: USA 19"
E00008,1984_Tonak_State_Revenues,methodology_notes.md,8016,0,"# Equations and Methodology - Chunk_10 (Pages 78-87)  **Source**: Tonak, E. A. (1984). Chapter IV: ""State in Distribution Process"" **Extraction Date**"
E00009,1984_Tonak_State_Revenues,labor_share_formula.md,5711,13,"# Equations - Chunk_11: Labor Share Calculation  **Source**: Tonak, E. A. (1984). Chapter IV: ""State in Distribution Process"" **Extraction Date**: Oct"
E00010,1984_Tonak_State_Revenues,expenditure_allocation.md,7027,8,"# Equations - Chunk_12: Expenditure Allocation Methodology  **Source**: Tonak, E. A. (1984). Chapter IV: ""State in Distribution Process"" **Extraction "
E00011,1984_Tonak_State_Revenues,net_tax_and_transfer_ratios.md,13465,84,"# Equations - Chunk_13: Net Tax and Transfer Ratios  **Source**: Tonak, E. A. (1984). Chapter IV: ""State in Distribution Process"" **Extraction Date**:"
