year,value_added,employment,compensation,productive_labor,productive_wages,surplus_value,rate_of_surplus,total_employment_est,productive_share
2010,3248405.0,86495665.4,1757809.2,59407515.857,1220586.0284,2027818.9716000003,1.6613486672939868,139509137.7419355,0.62
2011,3373458.9999999995,90271707.0,1827871.67,61939270.222,1268338.4342,2105120.5657999995,1.6597467277160902,145599527.41935483,0.6200000000000001
2012,3548196.0,95418903.3,1925069.39,65405143.024,1334821.7237,2213374.2763,1.6581796932138138,153901456.93548387,0.62
2013,3772798.000000001,101962218.3,2049607.24,69819307.725,1420134.8853,2352663.1147000007,1.6566476459755486,164455190.80645162,0.62
2014,3920391.000000001,106476081.2,2132576.07,72835466.719,1476522.9815,2443868.0185000007,1.655150681107093,171735614.83870968,0.62
2015,4005172.0000000005,109317223.5,2181544.5500000003,74701599.028,1509284.6953,2495887.3047,1.6536888716041036,176318102.41935483,0.62
2016,4107297.9999999995,112659005.8,2240095.71,76904830.504,1548601.7616,2558696.238399999,1.6522622547945311,181708073.87096775,0.62
2017,4260586.0,117440688.5,2326734.22,80084544.333,1607240.0804,2653345.9196,1.6508709258542456,189420465.32258064,0.62
2018,4535691.0,125640388.80000001,2480204.99,85585047.95,1711894.8632,2823796.1368,1.6495149307951962,202645788.3870968,0.62
2019,4676509.0,130178987.1,2560543.26,88581736.383,1765923.6427999998,2910585.3572000004,1.6481943424150869,209966108.22580644,0.62
2020,4109889.0000000005,114968530.8,2253233.36,78147160.704,1552712.5127,2557176.4873000006,1.6469091775742477,185433114.19354838,0.62
2021,5170093.000000001,145336007.8,2838178.07,98681262.466,1954179.3140999998,3215913.6859000004,1.645659465687822,234412915.80645165,0.62
2022,5993107.0,169296826.9,3294260.49,114824336.955,2266300.2630000003,3726806.7369999997,1.6444452651947643,273059398.2258065,0.62
2023,6458806.999999999,183343987.8,3554857.61,124214401.683,2443494.3797999998,4015312.6201999993,1.6432665666817097,295716109.3548387,0.62
