Table_11.6,Employed persons by status in employment and branch of economic activity,2011-2012
Unit: Thousand (Bin)
Note: Industry = Mining+Manufacturing+Electricity/Gas/Water+Construction; Services = Trade+Hotels+Transport+Finance+Business+Community
Source: TurkStat Statistical Yearbook 2012 p.183

Year,Sex,Employment_Status,Total,Agriculture,Industry,Services
2011,Males,TOTAL,17137,3199,5322,8616
2011,Males,Regular and casual employee,11277,385,4535,6357
2011,Males,Employer,1157,92,365,700
2011,Males,Self employed,3871,2120,371,1380
2011,Males,Unpaid family worker,832,602,51,179
2011,Females,TOTAL,6973,2944,1057,2972
2011,Females,Regular and casual employee,3599,238,860,2502
2011,Females,Employer,87,8,10,69
2011,Females,Self employed,816,434,155,226
2011,Females,Unpaid family worker,2472,2265,32,175
2012,Males,TOTAL,17512,3225,5372,8915
2012,Males,Regular and casual employee,11652,392,4601,6659
2012,Males,Employer,1145,71,360,714
2012,Males,Self employed,3906,2177,363,1366
2012,Males,Unpaid family worker,809,585,48,176
2012,Females,TOTAL,7309,2872,1088,3349
2012,Females,Regular and casual employee,3967,213,906,2848
2012,Females,Employer,94,8,12,74
2012,Females,Self employed,788,413,136,239
2012,Females,Unpaid family worker,2460,2238,34,188
