table_number,table_title,source_page
13.20,Quarterly gross wages and salaries index in construction 2008-2012 (2010=100),246
notes,"CRITICAL TABLE: Brut ucret-maas endeksi = Gross wages and salaries index. Direct wage indicator for construction sector."

NACE_code,NACE_description_EN,construction_type,2008,2009,2010,2011,2012
F,Construction,Total,86.3,81.4,87.3,101.3,118.1
F,Construction,Building,104.7,86.5,88.2,104.8,124.1
F,Construction,Civil engineering,66.7,76.0,85.8,95.6,108.2
41,Construction of buildings,Total,106.5,86.1,87.5,103.9,122.6
41,Construction of buildings,Building,106.5,86.1,87.5,103.9,122.6
42,Civil engineering,Total,68.5,74.9,84.4,95.7,105.5
42,Civil engineering,Civil engineering,68.5,74.9,84.4,95.7,105.5
43,Specialised construction activities,Total,76.2,82.9,90.7,102.7,124.3
43,Specialised construction activities,Building,96.5,88.6,91.2,108.2,130.0
43,Specialised construction activities,Civil engineering,62.1,78.9,90.0,95.4,116.5
