table_ref,country,2007,2008,2009,2010,2011,notes
26.9,Turkey,7048.1,7744.5,8817.7,9713.4,11100.9,(4) TurkStat press release
26.9,United States,380088.0,406258.0,405072.0,408657.0,415193.0,(2) Excludes most or all capital expenditures; (3) Provisional
26.9,Germany,74016.5,81970.7,82360.7,86279.8,91736.8,(1) National estimate or projection
26.9,Austria,7916.8,8854.1,8811.1,9449.3,9761.9,(1) National estimate; (3) Provisional
26.9,France,44011.9,46547.8,49479.8,49934.3,51891.0,(5) Break in series 2010
26.9,United Kingdom,38731.5,39396.9,39213.2,39505.8,39627.1,(1) National estimate; (3) Provisional
26.9,Spain,18314.9,20414.9,20440.2,20232.5,19763.1,(5) Break in series 2008
26.9,Italy,22315.3,24075.9,24511.5,24540.5,24812.1,(3) Provisional
26.9,Japan,147702.5,148719.2,137249.1,140958.5,,(5) Break in series 2008; data not available for 2011
26.9,Netherlands,12061.0,12467.8,12301.2,12810.1,14581.5,(5)(3) Break in series; Provisional
26.9,Canada,24794.8,24911.9,24715.2,24647.7,24258.0,(3) Provisional
26.9,Norway,4189.7,4630.5,4650.8,4720.7,4970.1,(3) Provisional
