table_ref,sex_group,age_group,year,distribution_pct,monthly_paid_hours,hourly_avg_gross_wage_TL,monthly_avg_gross_wage_TL,annual_avg_gross_earnings_TL
25.3,Total,Total,2006,100.0,199.7,5.5,1103,14252
25.3,Total,Total,2010,100.0,200.1,7.6,1512,19694
25.3,Total,<16,2006,0.0,193.1,2.6,511,6442
25.3,Total,<16,2010,0.0,197.4,3.9,764,9509
25.3,Total,16-19,2006,3.3,199.0,3.0,598,7458
25.3,Total,16-19,2010,2.3,200.1,4.1,830,10428
25.3,Total,20-24,2006,13.1,199.7,3.6,718,9053
25.3,Total,20-24,2010,11.5,200.7,5.0,1001,12762
25.3,Total,25-29,2006,24.4,200.1,4.6,912,11662
25.3,Total,25-29,2010,22.2,199.9,6.3,1267,16487
25.3,Total,30-34,2006,20.7,199.9,5.8,1153,14925
25.3,Total,30-34,2010,21.9,200.6,7.6,1525,19894
25.3,Total,35-39,2006,15.6,200.0,6.3,1256,16349
25.3,Total,35-39,2010,16.7,200.7,8.3,1671,21858
25.3,Total,40-49,2006,18.7,199.3,7.0,1390,18204
25.3,Total,40-49,2010,20.0,200.0,9.1,1811,23764
25.3,Total,50-59,2006,3.8,196.5,8.6,1698,21830
25.3,Total,50-59,2010,4.7,195.0,11.2,2190,28531
25.3,Total,60+,2006,0.4,195.3,10.7,2097,26657
25.3,Total,60+,2010,0.6,195.1,14.5,2835,34875
25.3,Males,Total,2006,77.0,200.3,5.5,1107,14316
25.3,Males,Total,2010,75.4,201.1,7.5,1510,19683
25.3,Males,<16,2006,,,,,
25.3,Males,<16,2010,0.0,,,,
25.3,Males,16-19,2006,2.1,198.6,3.0,594,7414
25.3,Males,16-19,2010,1.6,199.8,4.1,824,10357
25.3,Males,20-24,2006,8.2,200.2,3.6,711,8966
25.3,Males,20-24,2010,7.1,201.4,4.9,986,12583
25.3,Males,25-29,2006,18.4,201.0,4.4,883,11293
25.3,Males,25-29,2010,16.1,201.2,6.1,1227,15959
25.3,Males,30-34,2006,16.5,200.8,5.5,1097,14185
25.3,Males,30-34,2010,16.8,201.9,7.3,1471,19212
25.3,Males,35-39,2006,12.6,200.7,6.1,1233,16071
25.3,Males,35-39,2010,13.1,201.8,8.1,1636,21326
25.3,Males,40-49,2006,15.6,199.9,7.0,1404,18410
25.3,Males,40-49,2010,16.3,200.9,9.0,1806,23704
25.3,Males,50-59,2006,3.2,196.8,8.8,1726,22188
25.3,Males,50-59,2010,3.9,195.8,11.5,2242,29461
25.3,Males,60+,2006,0.4,195.0,10.8,2105,26885
25.3,Males,60+,2010,0.5,195.2,15.0,2930,36000
25.3,Females,Total,2006,23.0,197.5,5.5,1091,14036
25.3,Females,Total,2010,24.6,196.9,7.7,1519,19728
25.3,Females,16-19,2006,1.2,199.7,3.0,604,7534
25.3,Females,16-19,2010,0.7,200.8,4.2,842,10579
25.3,Females,20-24,2006,4.9,199.0,3.7,729,9197
25.3,Females,20-24,2010,4.4,199.4,5.1,1026,13054
25.3,Females,25-29,2006,6.1,197.3,5.1,997,12775
25.3,Females,25-29,2010,6.1,196.5,7.0,1374,17878
25.3,Females,30-34,2006,4.2,196.4,7.0,1372,17810
25.3,Females,30-34,2010,5.1,196.5,8.7,1704,22150
25.3,Females,35-39,2006,3.0,197.3,6.8,1351,17530
25.3,Females,35-39,2010,3.6,196.6,9.1,1799,23785
25.3,Females,40-49,2006,3.1,196.5,6.7,1322,17155
25.3,Females,40-49,2010,3.7,196.2,9.3,1834,24027
25.3,Females,50-59,2006,0.5,195.0,7.9,1533,19673
25.3,Females,50-59,2010,0.9,191.1,10.2,1950,24288
25.3,Females,60+,2006,0.0,198.6,10.2,2025,24482
25.3,Females,60+,2010,0.1,195.0,10.8,2098,26149
