"Section","Row Header","Units","Col 1","Col 2","Col 3","Col 4","Col 5","Col 6","Col 7","Col 8","Col 9","Col 10","Col 11","Col 12","Col 13","Col 14","Col 15","Col 16","Col 17"
"610B 4","Agriculture","thousands",4310,4079,3862,3713,3432,3338,3303,3193,3118,3065,3116,3181,3255,3191,0.788,0.784,0.784
"","","(Lp/L)min",0.782,0.777,0.765,0.761,0.763,0.759,0.747,0.756,0.757,0.760,0.759,0.760,0.759
"","","(Lp)agr = (Lp/L)min × Lagr","thousands",3395,3199,3027,2902,2666,2554,2513,2435,2367,2290,2357,2408,2475,2423
"","","(Lu)agr = Lagr - (Lp)agr","thousands",915,880,835,811,766,784,790,758,751,775,759,773,780,768
"610B 81","Government enterprises - Federal","thousands",691,694,700,718,785,824,835,848,866,870,843,838,854,838,0.738,0.736,0.733
"","","(Lp/L)nongovtot",0.734,0.732,0.725,0.725,0.722,0.717,0.715,0.718,0.717,0.712,0.700,0.738,0.736,0.733
"","","(Lp)gefed = (Lp/L)nongovtot × Lgefed","thousands",510,511,513,527,575,598,605,612,621,622,606,601,608,587
"610B 86","Government enterprises - State and local","thousands",389,399,420,428,429,429,461,479,507,521,530,555,596,644,0.738,0.736,0.733
"","","(Lp/L)nongovtot",0.734,0.732,0.725,0.725,0.722,0.717,0.715,0.718,0.717,0.712,0.700,0.738,0.736,0.733
"","","(Lp)gest = (Lp/L)nongovtot × Lgest","thousands",287,294,308,314,314,311,334,346,363,373,381,398,424,451
"","","(Lp)getotal = (Lp)gefed + (Lp)gest","thousands",797,804,821,841,888,909,939,958,984,995,986,999,1032,1037
"","","Lgetotal = Lgefed + Lgest","thousands",1080,1093,1120,1146,1214,1253,1296,1327,1373,1391,1373,1393,1450,1482
"","","(Lu)getotal = Lgetotal - (Lp)getotal","thousands",283,289,299,305,326,344,357,369,389,396,387,394,418,445
"610B 50","TOTAL TRADE Lt = Lwhtr + Lretrr","thousands",12433,12499,12849,13213,13615,13822,14179,14637,14889,15158,15488,16209,16565,16500,3448,3480,3555
"610B 51","","Wholesale trade Lwhtr = (Lu)whtr","thousands",3648,3782,3849,3920,4041,4123,4154,4252,4492,4617,4521,8985,9019,9294,9565,9833,9973,10259,10596,11004,11236,11717,11948,11979
"","","Retail trade Lretrr = (Lu)retrr","thousands",456,464,465,478,490,503,523,539,559,596,619,680,697,695
"","","Building rent Lbr = Lre - Lgr","thousands",2380,2445,2504,2597,2676,2829,2970,3114,3190,3240,3340,3522,3637,3710
"","","ROYALTIES Lr = Lfr + Lgr","thousands",2220,2280,2337,2423,2496,2642,2773,2907,2972,3003,3089,3240,3347,3418,2836,2909,2969,3075,3166,3332,3493,3653,3749,3836,3959,4202,4334,4405
"610B 52","","Lfr = Lfire - Lre","thousands",616,629,632,652,670,690,720,746,777,833,870,962,987,987
"610B 58","","Lre = total real estate","thousands",160,165,167,174,180,187,197,207,218,237,251,282,290,292
"","","Ground rent Lgr = Lre × g","thousands",0.26,0.26,0.26,0.27,0.27,0.27,0.27,0.28,0.28,0.29,0.29,0.29,0.29,0.30
"Table B.5","","g",10268,10460,10770,11118,12023,12695,13099,13325,13251,13198,13231,13418,13630,13902
"","","DUMMY Ld = Lgovntfed + Lgovntsl","thousands",4718,4657,4660,4671,5203,5626,5696,5636,5228,4845,4501,4356,4307,4278
"610B 78","Government - Federal","thousands",5550,5803,6110,6447,6820,7069,7403,7689,8023,8353,8730,9062,9323,9624
"610B 83","Government - State and local","thousands",66091,66655,67874,70128,73301,75137,76929,78875,78275,77937,79856,83299,84612,82827,29937,30013,30280,31365,32566,32856,33445,34125,33247,32727,33896,35462,35657,33615
"TOTALS","","L","thousands",36154,36642,37594,38763,40735,42281,43484,44750,45028,45210,45960,47837,48955,49212,0.453,0.450,0.446,0.447,0.444,0.437,0.435,0.433,0.425,0.420,0.424,0.426,0.421,0.406
"","","Lp","thousands",0.828,0.819,0.805,0.809,0.799,0.777,0.769,0.763,0.738,0.724,0.738,0.741,0.728,0.683
"","","Lu = L - Lp","thousands",0.828,0.819,0.805,0.809,0.799,0.777,0.769,0.763,0.738,0.724,0.738,0.741,0.728,0.683
"","","Lp/L","thousands",0.828,0.819,0.805,0.809,0.799,0.777,0.769,0.763,0.738,0.724,0.738,0.741,0.728,0.683
"","","Lp/Lu","thousands",0.828,0.819,0.805,0.809,0.799,0.777,0.769,0.763,0.738,0.724,0.738,0.741,0.728,0.683
