Category,Marxian,Input-output
"A. Revenue side","",
"TV*","TV* = GO_p + GO_t = 2000 = 1000 + 1000","GO = GO_p + GO_t = 2000 = 1000 + 1000"
"C*","C* = M_p = 400","M = M_p + M_t = 400 + 200 = 600"
"VA*","VA* = TV* - C* = 1600 = VA_p + GO_t = 600 + 1000","VA = GO - M = 1400 = VA_p + VA_t = 600 + 800"
"V*","V* = W_p = 200","W = W_p + W_t = 200 + 400 = 600"
"S*","S* = VA* - V* = 1400 = P_p + GO_t = P_p + P_t + (W_t + M_t) = 400 + 400 + (400 + 200)","P = P_p + P_t = 400 + 400 = 800"
"S*/V*","S*/V* = rate of surplus value = 1400/200 = 700% = [P_p + P_t + (W_t + M_t)]/W_p","P/W = profit/wage ratio = 800/600 = 133% = (P_p + P_t)/(W_p + W_t)"
"B. Use side","",
"TP*","TP* = GP_p + GP_t = 2000","GP = GP_p + GP_t = 2000"
"U*","U* = M_p = 400","M = M_p + M_t = 400 + 200 = 600"
"FP*","FP* = TP* - U* = 1600 = M_t + CON + I = 200 + 1000 + 400","FD = GP - M = 1400 = CON + I = 1000 + 400"
"NP*","NP* = CONW_p = 200","(no direct counterpart)"
"SP*","SP* = FP* - NP* = 1400 = M_t + CON + I - CONW_p = M_t + CONW_t + CONC + I = 200 + 400 + 400 + 400","(no direct counterpart)"
"SP*/NP*","SP*/NP* = rate of exploitation = 1400/200 = 700% = (M_t + CONW_t + CONC + I)/CONW_p","(no direct counterpart)"
