"Variable","Description"
"(Lp)serv","Estimated total productive labor in productive services"
"(Lp)tut","Estimated total productive labor in transportation and public utilities"
"Vagr, (Wp)agr","Variable capital in agriculture, forestry, and fisheries"
"Vcon, (Wp)con","Variable capital in construction"
"Vge","Variable capital in government enterprises"
"Vman, (Wp)man","Variable capital in manufacturing"
"Vmin, (Wp)min","Variable capital in mining"
"Vserv","Variable capital in services"
"Vtut, (Wp)tut","Variable capital in transportation and public utilities"
"V*, Wp","Variable capital"
"W","Estimated total wage: employee compensation, wage equivalent of self-employed persons, and corporate officers' salaries"
"Wbr","Total employee compensation in building rental sector"
"Wd","Total employee compensation in dummy sectors"
"Wfi","Total employee compensation in finance and insurance"
"Wge","Unit wage of production workers in government enterprises"
