"Row ID","Description","Unit","Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Col10","Col11","Col12","Col13","Col14","Col15"
"604B 50","ECwhtr","millions of $","68,356","75,909","86,563","99,078","110,193","121,780","128,304","133,066","148,526","158,577","167,056","178,193","195,486","209,774"
"607B 50","FEEwhtr","thousands","4,408","4,574","4,824","5,059","5,102","5,225","5,125","5,089","5,371","5,496","5,537","5,676","5,812","6,050"
"","ecwhtr=(EC/FEE)whtr","dollars","15,507","16,596","17,944","19,585","21,598","23,307","25,035","26,148","27,653","28,853","30,171","31,394","33,635","34,673"
"610B 50","Lwhtr","thousands","4,690","4,832","5,072","5,339","5,396","5,522","5,409","5,409","5,697","5,804","5,834","5,991","6,149","6,399"
"","Wwhtr=ecwhtr x Lwhtr","millions of $","72,729","80,191","91,013","104,562","116,543","128,702","135,414","141,433","157,541","167,464","176,017","188,082","206,821","221,875"
"604B 51","ECretir","millions of $","104,145","115,071","129,900","143,479","154,515","166,758","175,649","189,867","209,716","225,689","242,066","258,442","277,714","293,387"
"607B 51","FEEretir","thousands","10,975","11,481","12,195","12,489","12,371","12,470","12,400","12,722","13,729","14,444","14,869","15,403","15,911","16,428"
"","ecretir=(EC/FEE)retir","dollars","9,489","10,023","10,652","11,488","12,490","12,373","14,165","14,866","15,275","15,625","16,280","16,779","17,454","17,859"
"610B 51","Lretir","thousands","12,407","13,008","13,740","14,086","13,999","14,082","14,010","14,406","15,341","15,943","16,381","16,952","17,409","17,976"
"","Wretir=ecretir x Lretir","millions of $","117,734","130,376","146,357","161,826","174,849","188,315","198,455","214,158","234,340","249,111","266,681","284,432","303,861","321,033"
"","Building rental",""
"","Wbr=Wre - Wgr","millions of $","7,634","8,809","10,616","12,736","14,045","14,950","16,080","18,353","21,067","23,542","25,506","28,485","32,136","33,283"
"ROYALTIES",""
"","Finance and insurance",""
"604B 52","ECfi=ECfire - ECre","millions of $","48,361","53,983","61,399","69,687","80,259","90,236","101,325","113,703","123,984","137,267","157,281","175,194","188,986","194,587"
"","ECfire","millions of $","56,951","63,857","73,101","83,222","95,180","106,576","118,707","133,071","146,443","162,480","185,182","205,979","223,446","230,329"
"607B 52","FEEfi=FEEfire - FEEre","thousands","3,370","3,512","3,704","3,901","4,048","4,189","4,252","4,363","4,522","4,683","4,937","5,145","5,201","5,231"
"","FEEfire","thousands","4,178","4,361","4,610","4,854","5,018","5,166","5,229","5,370","5,587","5,800","6,109","6,362","6,458","6,502"
"","ecfi=(EC/FEE)fi","dollars","14,350","15,371","16,576","17,864","19,827","21,541","23,830","26,061","27,418","29,312","31,858","34,051","36,336","37,199"
"","Lfi=Lfire - Lre","thousands","3,486","3,629","3,845","4,042","4,195","4,363","4,452","4,565","4,730","4,894","5,157","5,374","5,431","5,456"
"610B 52","Lfire","thousands","4,507","4,708","5,018","5,305","5,481","5,622","5,725","5,909","6,137","6,363","6,666","6,960","7,082","7,123"
"","Wfi=ecfi x Lfi","millions of $","50,026","55,781","63,736","72,206","83,174","93,984","106,091","118,967","129,687","143,452","164,290","182,992","197,343","202,957"
"","Ground rent",""
"604B 58","ECre","millions of $","8,590","9,874","11,702","13,535","14,921","16,340","17,382","19,368","22,459","25,213","27,901","30,785","34,460","35,742"
"607B 58","FEEre","thousands","808","849","906","953","970","977","977","1,007","1,065","1,117","1,172","1,217","1,257","1,271"
"","ecre=(EC/FEE)re","dollars","10,631","11,630","12,916","14,203","15,382","16,725","17,791","19,233","21,088","22,572","23,806","25,296","27,414","28,121"
"610B 58","Lre","thousands","1,021","1,079","1,173","1,263","1,286","1,259","1,273","1,344","1,407","1,469","1,509","1,586","1,651","1,667"
"","Wre=ecre x Lre","millions of $","10,854","12,549","15,151","17,938","19,782","21,056","22,648","25,850","29,671","33,158","35,924","40,119","45,261","46,878"
"Table B.5","g","", "0.30","0.30","0.30","0.29","0.29","0.29","0.29","0.29","0.29","0.29","0.29","0.29","0.29","0.29"
"","Wgr=Wre x g","millions of $","3,221","3,739","4,534","5,202","5,737","6,106","6,568","7,496","8,605","9,616","10,418","11,635","13,126","13,595"
"DUMMY",""
"","Government^b",""
"604B 78","ECgovfed","millions of $","70,871","75,528","81,685","86,918","96,099","107,424","117,022","124,695","132,005","140,223","143,539","150,869","159,313","168,550"
"604B 83","ECgovst","millions of $","132,947","144,970","158,857","173,526","192,154","209,314","226,877","241,695","258,885","278,752","300,260","322,081","346,466","373,005"
"","Wgovtot=ECgovfed + ECgovst","millions of $","203,818","220,498","240,542","260,444","288,253","316,738","343,899","366,390","390,890","418,975","443,799","472,950","505,779","541,555"
"","W=Total EC and WEQ","millions of $","1,140,356","1,268,469","1,433,637","1,610,759","1,773,254","1,956,867","2,071,620","2,199,810","2,404,596","2,565,699","2,719,892","2,913,089","3,152,110","3,337,038"
